sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
1,2.29262666357681,0,0.0864203170267865,0,0.183389920415357,0,12,1.55616817506962,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-16198.1279822642,-15409.3276723012,-788.800309963008
101,2.7014185433276,0,0.144289991832338,0,0.01422838952858,0,12,2.62130999448709,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-9226.95233623407,-8379.0962644649,-847.856071769166
201,2.7215506127438,0,0.348088768134705,0,0.0108298772267777,0,12,1.72395429422922,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-8191.02506374449,-7320.62796955586,-870.39709418863
301,2.89705354079546,0,0.309119459822622,0,0.0188086750079208,0,12,1.37240194045124,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7622.07572886099,-6591.15707459212,-1030.91865426887
401,2.57338700224926,0,0.288028177556549,0,0.014811290492706,0,12,1.25371786930776,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7336.96198482277,-6235.75888603546,-1101.20309878731
501,2.87295291094004,0,0.382456842211094,0,0.0110319776256525,0,12,1.20807470233382,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7170.75447233104,-6182.81670122363,-987.937771107412
601,2.4947065248918,0,0.279412123484481,0,0.0138766120255386,0,12,1.14018664231546,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7116.51927705954,-5982.28686172011,-1134.23241533943
701,2.62596935228594,0,0.297455628555687,0,0.0160210466778212,0,12,1.12358700101064,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7051.41564625654,-5933.15935280265,-1118.2562934539
801,2.62197456922303,0,0.285317125254341,0,0.0173715717083037,0,12,1.10866368926969,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6992.95823213336,-5852.00325647094,-1140.95497566242
901,2.5895463622547,0,0.277592037666887,0,0.0171354630773878,0,12,1.08459859217911,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6955.35378983692,-5799.45417447185,-1155.89961536506
1001,2.42168330559886,0,0.246919901192883,0,0.0161818877147124,0,12,1.04815394903698,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6870.20790918889,-5736.44164204297,-1133.76626714591
1101,2.44917600165739,0,0.252677798635655,0,0.0159474361259312,0,12,1.07112480314067,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6840.47594144819,-5723.50999817284,-1116.96594327535
1201,2.45911984792323,0,0.251774758875224,0,0.0164238225580574,0,12,1.0630605354386,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6834.92338209104,-5689.78080851492,-1145.14257357612
1301,2.40056164764678,0,0.245518116821399,0,0.0164873836621791,0,12,1.03928622305755,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6786.83463580096,-5656.05517798873,-1130.77945781223
1401,2.56680904148212,0,0.266480236062106,0,0.0193941925554604,0,12,1.0148768728386,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6789.82897413398,-5597.55320917826,-1192.27576495572
1501,2.55254479511182,0,0.263605981419362,0,0.0196186578312726,0,12,1.00108745171192,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6769.33404511891,-5577.29763564731,-1192.03640947159
1601,2.55605749669125,0,0.260590907164573,0,0.0195040698169021,0,12,1.01234004062488,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6795.81781547844,-5562.90345547126,-1232.91436000719
1701,2.49502399051893,0,0.255296040806295,0,0.0190672395983324,0,12,1.01057846221549,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6800.05461815179,-5559.28992739042,-1240.76469076137
1801,2.47980352468433,0,0.252094898360442,0,0.0197357702754809,0,12,0.99599431998089,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6801.75079055468,-5543.27244173961,-1258.47834881507
1901,2.4709954961432,0,0.247403177839836,0,0.0197430756540942,0,12,0.990535786207827,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6747.84308638302,-5522.41549805133,-1225.42758833169
2001,2.48214398615138,0,0.245256344420808,0,0.0199511585232751,0,12,1.00110206767414,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6740.89700744496,-5524.84640171136,-1216.0506057336
2101,2.47748081939426,0,0.238558977365359,0,0.0206604236584715,0,12,1.00945675433314,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6744.10743073755,-5513.28010095797,-1230.82732977958
2201,2.41006148700863,0,0.23054982673418,0,0.0203564745729553,0,12,0.98339041730912,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6729.21502954006,-5498.62266512041,-1230.59236441965
2301,2.42818751474757,0,0.235437147800771,0,0.0203196582093236,0,12,0.992416269909371,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6727.09146605846,-5500.67738148673,-1226.41408457172
2401,2.4001180512754,0,0.233704647345782,0,0.0200916303343347,0,12,0.972422813566639,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6710.02722389046,-5502.09486448196,-1207.9323594085
2501,2.4136607139515,0,0.23389996893136,0,0.0202127639202879,0,12,1.00711895128857,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6724.48600903846,-5504.60532319965,-1219.88068583882
2601,2.40473724801801,0,0.229470315528786,0,0.0200792209848552,0,12,0.981559591599992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6749.03187223198,-5510.67847544817,-1238.35339678381
2701,2.40496456794361,0,0.230024853100263,0,0.0204412987855584,0,12,0.994115638581865,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6767.55944132841,-5506.0781671828,-1261.48127414561
2801,2.40002132608223,0,0.230824818676526,0,0.0204412987855584,0,12,0.996548809996724,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6760.14864260191,-5509.743636091,-1250.40500651091
2901,2.41183776933949,0,0.226866915691853,0,0.0204358408682796,0,12,0.998886005204039,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6747.12044868571,-5500.02539996165,-1247.09504872406
3001,2.42120756879289,0,0.227082703570673,0,0.0205276236184779,0,12,0.993888060251306,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6722.65732445458,-5501.76129253154,-1220.89603192304
3101,2.41414264348414,0,0.229246161282854,0,0.0203560902977445,0,12,0.995588858017188,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6724.949393422,-5493.20175822883,-1231.74763519317
3201,2.39896063773864,0,0.223993829471157,0,0.0205425061176684,0,12,0.979676211873918,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6723.35286873902,-5480.99868361844,-1242.35418512058
3301,2.40353267984006,0,0.231192280418377,0,0.0200911785867556,0,12,0.992890618415051,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6725.95019940458,-5487.23058075426,-1238.71961865031
3401,2.36858991703367,0,0.221205147201016,0,0.0201299159732432,0,12,0.989788750679777,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6662.84481114911,-5471.43505601687,-1191.40975513224
3501,2.39047167246322,0,0.219651916711313,0,0.0205724179430011,0,12,0.991473470113122,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6695.44356269037,-5476.88932917956,-1218.55423351081
3601,2.39085500243769,0,0.226429292805487,0,0.0206336784161511,0,12,0.967820037252744,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6712.36005170861,-5473.76811931851,-1238.5919323901
3701,2.38385862884789,0,0.226886091618065,0,0.0203125852689725,0,12,0.981110361196922,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6702.01480814224,-5464.3253320942,-1237.68947604804
3801,2.37853565706428,0,0.226392467826314,0,0.0202223294870031,0,12,0.998360497363405,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6717.5710801609,-5468.93774719242,-1248.63333296848
3901,2.38898115872226,0,0.227852832802814,0,0.0204491236686427,0,12,0.999204259368902,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6677.94141758462,-5461.23903719477,-1216.70238038984
4001,2.42552135653198,0,0.229218478293544,0,0.0204781448480692,0,12,0.974220294030045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6675.25544709873,-5452.02341239282,-1223.23203470591
4101,2.41504335337215,0,0.231455671541608,0,0.0206499333077939,0,12,0.988870965618504,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6687.04884738678,-5453.40998416693,-1233.63886321985
4201,2.43361060981461,0,0.233675561751136,0,0.0204988557541684,0,12,0.973732624606919,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6672.21020803168,-5454.72230694763,-1217.48790108406
4301,2.40784213375452,0,0.223127149491503,0,0.0207920974866536,0,12,0.969315812824329,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6665.49188300114,-5456.58777014648,-1208.90411285466
4401,2.39869713008393,0,0.223126523161291,0,0.0203919492289531,0,12,0.990205103434059,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6678.78194546033,-5467.40724121612,-1211.37470424422
4501,2.39186385390616,0,0.223423394220742,0,0.0205001954167012,0,12,0.958857238438189,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6670.0742402972,-5450.88623750336,-1219.18800279384
4601,2.3938986705446,0,0.222512712788518,0,0.0204882096091572,0,12,0.972786473294133,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6723.70131856354,-5461.2336313198,-1262.46768724374
4701,2.43478305696134,0,0.220234699441446,0,0.0212014763983639,0,12,0.968199020700181,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6714.974653299,-5458.05418231952,-1256.92047097948
4801,2.407623141329,0,0.223125540610699,0,0.0211061670002637,0,12,0.962014877723466,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6707.58870587093,-5442.03120784799,-1265.55749802294
4901,2.4220243353817,0,0.22408191951812,0,0.0208407161249534,0,12,0.970839693701674,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6697.4077157058,-5439.87628476653,-1257.53143093926
5001,2.42710569087275,0,0.226070311509849,0,0.0206475988977303,0,12,0.990102474440695,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6680.97497670834,-5448.54119602225,-1232.43378068609
5101,2.45059754424612,0,0.230843781046106,0,0.0207526540031503,0,12,0.983233203873526,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6630.25259403297,-5443.25496909462,-1186.99762493836
