sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_LN,sigma_LN,alpha_LN,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,2.66787141794339,0,0.0835827460838482,0,0.119114845641889,0,12,1.23769798688591,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,8.97577103809454,2.75299852341414,219.14343778044,1.88973603583872,0,-151889.868230987,-151003.469923873,-886.398307113214
101,2.84061452345923,0,0.152606074451469,0,0.0222529607126489,0,12,2.18405836750753,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,8.97577103809454,4.15895556425676,267.082647187635,1.30571707392344,0,-49414.063202093,-48480.9435589877,-933.119643105289
201,2.04535851982716,0,0.153958669761867,0,0.0156010682927445,0,12,1.90845036045631,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,6.94586320896633,3.25572925014421,183.42734965089,0.730321601553244,0,-44780.335321441,-43710.7268083247,-1069.60851311623
301,2.09304043539198,0,0.167713288096291,0,0.0145674911921123,0,12,1.74899978096641,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,7.06106773554285,3.25572925014421,197.358447135479,0.995075412937732,0,-42931.2397816126,-41860.8479450104,-1070.39183660218
401,2.18271779876539,0,0.178988326088753,0,0.013668982873134,0,12,1.38931449076214,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,7.06106773554285,2.96852579023434,211.929594437533,1.42527942326433,0,-41110.8799394095,-39986.8953219572,-1123.98461745238
501,2.0106697111409,0,0.114734974516616,0,0.020616032495594,0,12,1.43468167954664,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.52598669952966,1.82231499006871,214.480620817072,0.783210586088203,0,-39261.3576864081,-38100.9937857778,-1160.36390063031
601,2.0106697111409,0,0.118070723702972,0,0.020616032495594,0,12,1.32258687066291,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.52351983159774,1.80189105496825,235.235360750042,0.89546267666756,0,-38398.0720158305,-37235.5200870759,-1162.55192875464
701,2.00163010045565,0,0.118070723702972,0,0.0191865104722437,0,12,1.32918459484509,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.56114378153289,1.73854615309025,235.399685451879,0.890507290245204,0,-38147.2288435602,-36976.0417020986,-1171.18714146157
801,1.96768160766581,0,0.123497125338067,0,0.017691204100827,0,12,1.28983098002117,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.47939463286154,1.71688912374903,243.086402507449,1.00337127810478,0,-37653.111725143,-36505.2250696021,-1147.88665554091
901,1.99855729867758,0,0.125299590941423,0,0.0179835952935171,0,12,1.25387416134948,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.4681517522051,1.66673043195336,267.657733412325,0.986918370714061,0,-37477.0517609585,-36343.8294160911,-1133.22234486742
