sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_LN,sigma_LN,alpha,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.24918949697167,0,0.0696902321907692,0,0.13858182686381,0,12,1.68230214971118,48.1817272957414,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.59301955858246,2.827312303707,418.984355125576,1.51134689326864,0.0819971120613627,-114857.006821612,-110718.608180248,-4138.39864136426
1001,1.35619864426553,0,0.0339694056450389,0,0.0548670242773369,0,12,1.22472951305099,1.99791290797293,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03154852986336,0.0604501995258045,359.967071213759,1.93266574588371,0.0352396230748855,-38032.7813389115,-35530.2265230625,-2502.55481584896
2001,1.89362583708713,0,0.0593788410871658,0,0.0529639724498352,0,12,1.22444349653401,0.651343354391105,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.24051963258068,44.6434988039483,390.36044201348,0.278343603094971,0.138215908368584,-38015.6301974255,-36073.9695652018,-1941.66063222371
3001,1.40907547600391,0,0.0330342547286664,0,0.0529848932907745,0,12,1.22137430420689,1.24549379780602,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03154852986336,0.0604501995258045,823.882534052245,1.98050902605761,0.0276406492343943,-37870.996425909,-35399.7376306688,-2471.25879524016
4001,1.41917382131198,0,0.0321160339371823,0,0.0530772271137673,0,12,1.20351490292634,1.19965259313349,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03154852986336,0.0604501995258045,412.853434798308,1.98726954225286,0.0303249473509989,-37741.2085961128,-35322.4222499398,-2418.786346173
5001,1.39775434266481,0,0.0297443537228277,0,0.0514494924608947,0,12,1.21639035062727,0.856884044451723,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03154852986336,0.0810609741206019,623.266932205297,1.95079230637975,0.0411357981727121,-37840.0992957802,-35428.457999086,-2411.64129669419
6001,1.38073964026201,0,0.028966910225342,0,0.0508730935382656,0,12,1.21486510387826,1.17785629304751,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.16101950342173,0.0602243854438612,79.6141269383952,1.98406912891237,0.0411868034204939,-37808.590083886,-35398.8380572406,-2409.75202664539
7001,1.70420671825042,0,0.0343009803872559,0,0.053009853091801,0,12,1.21676986576716,0.711914291249225,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03872559781174,0.10346463881433,840.091212373227,1.07177658977564,0.0539254954566386,-37623.8176816618,-35633.7860622778,-1990.03161938397
8001,1.65872986859749,0,0.0331305608612803,0,0.0523528751947526,0,12,1.22354933192535,0.641563469322754,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03872559781174,0.10346463881433,270.816242368892,1.07387444851598,0.0428979447845532,-37737.6080684591,-35676.8381017141,-2060.76996674498
9001,1.62436236469406,0,0.0325802735995417,0,0.0513544226773735,0,12,1.21540723170237,0.940496295243171,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03673353176995,0.0472096040146072,369.949965691194,1.10385189116955,0.0550502191408156,-37682.9157470522,-35571.680198686,-2111.23554836617
