sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,th1_SP,th2_SP,th3_SP,alpha_SP,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,2.21408619591966,0,0.042689958056435,0,0.171139903296717,0,12,1.78005681559443,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.711972282966599,0.925589546328411,0.789277755189687,0.308731060940772,0.707603157614358,0,-100778.904610701,-99826.196549723,-952.708060978095
101,2.19595253346488,0,0.13172922202386,0,0.0475253289798275,0,12,2.55132551956922,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.724123497605324,0.918305200166069,0.789081180102658,10.5908637377433,0.188342492270749,0,-48228.2218242898,-47218.9510993947,-1009.27072489516
201,1.87247704669626,0,0.130348500064253,0,0.0370959865178443,0,12,1.86816446202107,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.745045520439875,0.955368674576339,0.779616327133184,10.5908637377433,0.188342492270749,0,-44331.9906282174,-43275.8162801662,-1056.17434805116
301,1.87247704669626,0,0.130348500064253,0,0.0293220309119524,0,12,1.86816446202107,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.749411474359936,0.990953065711921,0.726150513190114,10.5908637377433,0.380940746076806,0,-42734.3173757687,-41604.5474683678,-1129.76990740092
401,1.9911926751039,0,0.0759841037877315,0,0.0381554043333977,0,12,1.61922301999726,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.755345472432325,0.911814093075518,0.636476103351772,8.09349461468906,0.178124155312459,0,-41193.8603516072,-40061.5735781278,-1132.28677347933
501,2.0175243509739,0,0.0759841037877315,0,0.0381554043333977,0,12,1.45588572698611,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.76961757553618,0.910371826709483,0.537611659023554,8.09349461468906,0.188986865533409,0,-39697.737967975,-38535.3856208135,-1162.35234716149
601,1.96616025140696,0,0.0741511977804231,0,0.0327795648600029,0,12,1.36577415046883,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.75334203271878,0.854904435711315,0.421199402373272,7.46768741944636,0.241182051380596,0,-38973.4711294523,-37776.2775171194,-1197.19361233285
701,1.95292480990702,0,0.135418560111664,0,0.0261959199562758,0,12,1.33812007671408,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.673332889432231,0.92522498236106,0.42459886655492,9.84492868488346,0.557379012180776,0,-38430.4924214535,-37145.0807656483,-1285.41165580522
801,1.89759979116612,0,0.13318431001859,0,0.0242696907932797,0,12,1.29034171575124,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.546577136704658,0.758199324776736,0.326907772498321,10.1766045243032,0.610059201071232,0,-37912.3308708368,-36638.5842441017,-1273.74662673504
901,1.92539127236821,0,0.0672068200023775,0,0.0302258942922565,0,12,1.28039675925774,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.581354576336971,0.61644362301651,0.262921087470521,7.18014632527987,0.299262178616178,0,-37458.6424372709,-36234.9822028419,-1223.66023442906
