sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,2.39579620026052,0,0.0546948702889495,0,0.149054497224279,0,12,1.49785413825884,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.533453893614933,2.20227196160704,0.0447203596238978,0,0.734995060018264,0.0205200009630062,1,1,-51118.1824252112,-50403.4990592105,-714.68336600064
1001,2.31879113290459,0,0.0366769666434266,0,0.0858805494941771,0,12,1.28867391962558,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.57027332388796,2.09250793095678,0.0874886736809276,0,1.20698881215858,0.0332082374538295,1,1,-20714.4529902059,-18701.3746364661,-2013.07835373975
2001,2.00766162132038,0,0.0392773119416672,0,0.0656324880774901,0,12,1.28189250082626,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.978891244680855,0.00507501115547412,0.247995053662277,0,0.66116333980181,0.0289293039420193,1,1,-20545.5822766281,-18647.8872903502,-1897.6949862779
3001,2.22922086355608,0,0.0426527540990264,0,0.065665672403022,0,12,1.29103135878695,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.794667330503747,0.58183273414135,0.129351745095345,0,0.576687946023447,0.142029900674226,1,1,-20370.1204449381,-18656.2902651473,-1713.83017979072
4001,2.20883600436073,0,0.0413056312419891,0,0.0647947345235855,0,12,1.26239292634192,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.825234510869071,2.59587470471645,0.203315678169561,0,0.747982434524631,0.262710193742524,1,1,-20175.8416315663,-18483.8919525926,-1691.94967897372
5001,2.15724325048458,0,0.0408250576495766,0,0.062725322524538,0,12,1.25536718558661,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.744091617098224,3.64204437994708,0.283924559768026,0,0.738056919595258,0.220085145655971,1,1,-20024.2302302377,-18447.6519892867,-1576.57824095098
6001,2.14279881317231,0,0.0402827097537938,0,0.0621490855650787,0,12,1.26115725242346,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.800393166286545,2.30250868537773,0.531970081748501,0,0.779705210035471,0.076095706161063,1,1,-20011.7563617557,-18444.6371924401,-1567.11916931554
7001,2.1414343945229,0,0.0393289627308549,0,0.0622442322940904,0,12,1.24011193993216,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.757910471599175,3.39738645999383,0.951742559490406,0,0.840520869478033,0.117122228902813,1,1,-19885.2415609616,-18383.6389221544,-1501.60263880717
8001,2.09338038138098,0,0.03862306606991,0,0.0616883019144848,0,12,1.24835651111667,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.809757653554444,2.19889305402834,0.681349167082779,0,0.844057861557922,0.189065372844275,1,1,-19985.0152292615,-18421.507213416,-1563.50801584553
9001,2.01659389203769,0,0.0418496579434265,0,0.0497320462413638,0,12,1.23970654332273,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.267783416322261,1.19885017462754,0.000148749804270034,0,1.6722218090191,0.0458601149284054,1,1,-19961.1790838371,-18426.7419509077,-1534.4371329294
