sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,2.17718571657315,0,0.0380490794871003,0,0.10381542739924,0,9,1.76240116497502,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.389082792215049,0.683811092516407,0.00453480993583798,0,0.0910957896173932,0.0775078637548722,0.909804256865755,1.63394319207873,-3243.32695722403,-3020.30849895171,-223.018458272318
101,1.67214831346646,0,0.00152391855139286,0,0.0993250994710252,0,9,2.07879888557363,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.317189796129242,0.831284598005004,0.00289394675241783,0,0.150632834925782,0.0327748458343558,1.03364506084472,2.17892745637801,-2591.27599533669,-1904.0615514915,-687.214443845188
201,1.65672813570127,0,0.00152391855139286,0,0.0993250994710252,0,9,1.25550557824317,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.255689085903577,0.961307498626411,0.00389431222062558,0,0.200019072045106,0.116675341313239,0.326152449706569,2.13647473056335,-2349.10875788096,-1581.36098616707,-767.74777171389
301,1.69710421552882,0,0.00152391855139286,0,0.0993250994710252,0,9,1.25550557824317,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.201222212333232,0.933079693187028,0.00494735486758873,0,0.242375424646307,0.164891116202343,0.510262027615682,1.28844942629803,-2348.26981782882,-1487.48336436997,-860.786453458846
401,1.74571919506416,0,0.00152391855139286,0,0.0993250994710252,0,9,1.02118668809999,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.164406120358035,0.910894559696317,0.00808328513009474,0,0.242375424646307,0.136944681287278,0.59166351472959,0.868467824882827,-2306.38182148926,-1409.65637651151,-896.725444977746
501,1.60919569255784,0,0.0100440953997895,0,0.0688638101099059,0,9,1.61841954186093,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.169195572030731,0.638400641316548,0.00513701356668025,0,0.226452416789252,0.0964481186796911,1.22742098732851,0.625372127979062,-2358.07242768093,-1669.40789418939,-688.664533491538
601,1.7767556249164,0,0.00897723598405719,0,0.0749321914510802,0,9,1.50918708904646,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.138532517501153,0.60901364183519,0.0185419516447,0,0.277949407815468,0.339700535710435,0.351230650907382,0.740959658171051,-2388.7322851855,-1592.76148751584,-795.970797669659
701,1.7767556249164,0,0.00924732001964003,0,0.0749321914510802,0,9,1.10125948931091,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.115084296022542,0.61541696304921,0.024717017069459,0,0.22012372294208,0.431727885224391,0.152521006995812,0.799958320218138,-2212.40334938873,-1454.20922734481,-758.19412204392
801,1.7767556249164,0,0.00924732001964003,0,0.0749321914510802,0,9,1.09328937740065,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.115084296022542,0.52815622142516,0.0250286974241026,0,0.278093989521731,0.320875743662473,0.828333889134229,1.49181071517523,-2214.41459728919,-1453.28505454793,-761.129542741252
901,1.83487848797813,0,0.0159305408969521,0,0.0670688879676163,0,9,1.32307878776919,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.115039053233341,0.657444142829627,0.0314518160088919,0,0.24038720904151,0.066679984794464,0.938954424578696,1.86312115157489,-2219.7756471497,-1503.29081789932,-716.484829250379
1001,1.83351895669475,0,0.0159305408969521,0,0.0670688879676163,0,9,0.82993550656829,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.115039053233341,0.6420824872097,0.0166615664255805,0,0.254238414254505,0.151601718852762,1.22283377917483,2.25118526781444,-2157.24735181339,-1466.80097018994,-690.446381623449
1101,1.8561930318363,0,0.0159305408969521,0,0.0670688879676163,0,9,0.967336386325769,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.115039053233341,0.67453195611015,0.0106918142125942,0,0.342074652716983,0.270471312848385,2.18090400053188,0.909910769783891,-2145.59206056332,-1430.4591753498,-715.132885213518
1201,1.86957183117047,0,0.0159305408969521,0,0.0670688879676163,0,9,0.967336386325769,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.113698164280504,0.60869740927592,0.0109914232366718,0,0.359834003055003,0.365441045069601,1.13086707470939,1.64751791686285,-2103.82318538884,-1422.20618428001,-681.617001108834
1301,1.86957183117047,0,0.0157665224885568,0,0.0684700651327148,0,9,0.98027715831995,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.113698164280504,0.506182739813812,0.00989024315681308,0,0.379592879863922,0.440095276918728,1.20470657735132,1.6441094808979,-2162.9703152009,-1441.62547121405,-721.344843986848
1401,1.86957183117047,0,0.00962760232854635,0,0.0684700651327148,0,9,0.98027715831995,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.107078397530131,0.566517303208821,0.00315077554155141,0,0.339693780106027,0.470673125421163,1.8836271490436,2.19929392321501,-2151.68317735911,-1427.3665275332,-724.316649825903
1501,1.80986309191212,0,0.012314830054529,0,0.0684700651327148,0,9,0.98027715831995,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.110664000362158,0.576422709645704,0.0163731526741758,0,0.367012109097559,0.401195406911429,2.01062705391087,1.88659686536994,-2151.77689657704,-1433.31387697201,-718.463019605028
1601,1.80986309191212,0,0.00150470229331405,0,0.0684700651327148,0,9,0.98027715831995,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.110664000362158,0.477877558022738,0.0232998224576004,0,0.360943237461615,0.306670686763246,1.86782250180841,1.65061914746184,-2124.27234262815,-1438.80140215214,-685.470940476009
1701,1.80748832030222,0,0.00150470229331405,0,0.0684700651327148,0,9,0.946424512891099,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.109726059134118,0.512728300434538,0.0285672079138458,0,0.372659038126003,0.234463203276973,1.17132280091755,2.17144537193235,-2113.47551045277,-1403.72937669479,-709.74613375798
1801,1.80748832030222,0,0.00150470229331405,0,0.0684700651327148,0,9,0.946424512891099,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.108170693763532,0.491339383274317,0.0402755148890428,0,0.36529844322009,0.326527868534904,0.415963621810079,1.32522257918026,-2099.94341289968,-1388.3236864919,-711.61972640778
1901,1.80748832030222,0,0.00523397225420921,0,0.0684700651327148,0,9,0.946424512891099,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.108170693763532,0.507800526474603,0.0256489678025246,0,0.331818271616939,0.305253161021974,0.832725904881954,1.54157926549669,-2075.77952622664,-1376.21589365896,-699.563632567678
2001,1.80748832030222,0,0.00523397225420921,0,0.0679477603407577,0,9,0.949261236470192,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0981255991384388,0.506324059981853,0.02841846023174,0,0.332761262196582,0.312041164862458,0.59106022794731,1.02057581662666,-2155.84816493091,-1424.42690246719,-731.421262463727
2101,1.80748832030222,0,0.0100268448144197,0,0.0679477603407577,0,9,0.949261236470192,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0981255991384388,0.597880990500562,0.0249055514456704,0,0.369283292747568,0.392418836520519,0.128648340702057,0.707763140904716,-2169.21168157376,-1418.39353135567,-750.818150218089
2201,1.80748832030222,0,0.0100268448144197,0,0.0679477603407577,0,9,0.949261236470192,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.102597703179345,0.655547561612912,0.0168586749648675,0,0.349143233688082,0.552482631194871,0.0872761933133006,0.053212780621833,-2140.13785840715,-1382.80475057057,-757.333107836578
2301,1.80587942218408,0,0.0104742977907881,0,0.0679477603407577,0,9,0.949261236470192,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.100332662113942,0.665201908582822,0.0104481933563948,0,0.322627148081083,0.66619116489077,0.201272658538073,0.97662857186515,-2145.80683177858,-1392.1362030004,-753.67062877818
2401,1.80587942218408,0,0.012548557096161,0,0.0679477603407577,0,9,0.949261236470192,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.100332662113942,0.749225419620052,0.0194212525333278,0,0.24847868462326,0.7695808604802,0.915509636281058,0.356737034977415,-2162.54955265188,-1384.07343360623,-778.476119045647
2501,1.80598721681163,0,0.0106640478922054,0,0.0679477603407577,0,9,0.949261236470192,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0989617850631477,0.771932761091739,0.0190170190967619,0,0.26872038124362,0.794048005782534,0.0156363921705633,0.167322689085269,-2236.04383964813,-1444.90145818588,-791.142381462246
2601,1.9675957695581,0,0.0209720764169469,0,0.0789025948848575,0,9,0.908186609973199,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.110900032985955,0.827210155222565,0.0478648818372749,0,0.477736098531168,0.161293408859055,1.16169253806584,0.593269223463723,-2103.75400927258,-1344.02733624664,-759.726673025943
