sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
1,2.21155961137265,0,0.0639230451686308,0,0.185934667987749,0,9,1.91921627509873,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-3543.21244660336,-3161.33471379848,-381.877732804876
101,2.76121411342174,0,0.182437308076769,0,0.0344403551425785,0,9,2.04718340490945,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2495.57828701586,-2039.69330022566,-455.884986790193
201,2.79311801120905,0,0.203691509980928,0,0.0317278645960429,0,9,1.77651977680417,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2433.33515343448,-1962.38327444767,-470.951878986812
301,2.8185570742631,0,0.220378622503541,0,0.0317278645960429,0,9,1.8322768730972,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2407.90752327726,-1942.47762574796,-465.429897529302
401,2.63332977845801,0,0.133811777465728,0,0.0371405649910847,0,9,1.62299168687179,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2343.63291449851,-1800.34339763927,-543.289516859234
501,2.54831106344521,0,0.140114151665204,0,0.0353840853748989,0,9,1.38012478225129,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2283.15827379907,-1722.92386990418,-560.234403894884
601,2.54831106344521,0,0.150575063572617,0,0.0358000883521865,0,9,1.35261711642257,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2281.32722362744,-1709.14890573475,-572.178317892689
701,2.60841877558172,0,0.159089988096948,0,0.0364370043289537,0,9,1.36792337756024,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2263.46004553554,-1690.41809639761,-573.041949137926
801,2.62343501817568,0,0.155091614772804,0,0.0366465121720281,0,9,1.31769639656924,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2240.64064409288,-1666.7033153098,-573.937328783087
901,2.55983995627304,0,0.148394579328172,0,0.0364846949462555,0,9,1.27743592239174,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2240.1882122583,-1655.0430026357,-585.145209622602
1001,2.59506915099966,0,0.137107557310155,0,0.0375332876799538,0,9,1.28211527229708,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2229.38734119085,-1642.61015457156,-586.777186619297
1101,2.59001866251199,0,0.139614354174152,0,0.0379049191278538,0,9,1.23470713463766,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2223.70457827918,-1636.53032407729,-587.174254201893
1201,2.50580041361091,0,0.134112658586861,0,0.0373890076030311,0,9,1.22883913294964,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2213.16191811453,-1623.95821034785,-589.203707766682
1301,2.54703178161538,0,0.136286252559694,0,0.0382853635304747,0,9,1.23696524147874,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2239.8914322011,-1635.03878714484,-604.852645056264
1401,2.558424650811,0,0.127508456151531,0,0.0390212468727744,0,9,1.20786810558268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2238.88481168355,-1632.96207187564,-605.922739807908
1501,2.55756377842107,0,0.11821668577726,0,0.0403708579989201,0,9,1.21938964884407,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2228.80727343175,-1623.76474843216,-605.042524999588
1601,2.54113753318181,0,0.11643543702752,0,0.0397170943422204,0,9,1.2140928722349,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2208.47720159766,-1609.57985367116,-598.897347926499
1701,2.51833942798866,0,0.112769699974516,0,0.0393466745842156,0,9,1.18825584353772,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2193.12295656248,-1594.98018115868,-598.142775403796
1801,2.55652713282632,0,0.111466626672024,0,0.0411450882277637,0,9,1.16670895423318,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2201.69756439119,-1600.83076622357,-600.86679816762
1901,2.50002719471655,0,0.103763929932143,0,0.0403595463735877,0,9,1.196994548377,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2199.95494872257,-1590.54095201972,-609.413996702849
2001,2.42327449660171,0,0.0857335151384181,0,0.0520856490399471,0,9,1.15115509329937,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2194.73233131992,-1541.91711312363,-652.815218196283
2101,2.46534437051263,0,0.100277620100366,0,0.0406850671327772,0,9,1.21556660947037,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2210.57867225327,-1593.31867394612,-617.259998307147
2201,2.5620368341699,0,0.0986991064216431,0,0.0430819990349222,0,9,1.24154701107414,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2206.00062425191,-1588.60890450634,-617.391719745567
2301,2.61892774373754,0,0.0991560762609242,0,0.0464528239218903,0,9,1.19947545205897,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2210.28267623534,-1584.65064332154,-625.632032913797
2401,2.50204261191583,0,0.0851638391813063,0,0.0544472108120893,0,9,1.08839189168037,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2172.98909025774,-1490.26586703373,-682.72322322401
2501,2.51797489276165,0,0.0868695039017696,0,0.0551606300928432,0,9,1.1031880125787,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2164.51550167118,-1485.9894874302,-678.526014240981
2601,2.54186640747931,0,0.0894204471818358,0,0.0550278188857809,0,9,1.14608036609817,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2173.51863405369,-1486.68711921734,-686.831514836348
2701,2.74342134783613,0,0.102175415322636,0,0.0498238694004152,0,9,1.18845712450489,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2168.55539144325,-1538.71942457038,-629.835966872877
2801,2.6070235388081,0,0.0916807872708755,0,0.0566226049073043,0,9,1.05397186042604,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2151.69179581564,-1467.25716092338,-684.434634892257
2901,2.63720568567626,0,0.0899328691328517,0,0.0568150877132839,0,9,1.14992152240029,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2151.691968244,-1470.69845503714,-680.993513206859
3001,2.73330426460797,0,0.0886074502891838,0,0.0573405958366809,0,9,1.03790880061931,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2137.88955790147,-1456.33181513508,-681.557742766387
3101,2.68811212056108,0,0.0887922847166145,0,0.0582965473146099,0,9,1.00381639462275,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2132.40306248559,-1444.49479742325,-687.908265062338
3201,2.69147725207328,0,0.0891945280718216,0,0.0582965473146099,0,9,1.00713315840652,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2123.38507904488,-1449.32463845947,-674.060440585406
