sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,2.2031729654409,0,0.086917694886215,0,0.160335106682032,0,9,1.84786289255135,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-4078.11353373295,-3820.72748192275,-257.386051810194
1001,1.86601616503671,0,0.100258373234421,0,0.0678783128410578,0,9,1.40369045123225,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2496.1115056676,-1727.40186831006,-768.709637357532
2001,1.5360259963101,0,0.132687651698221,0,0.0449627218379787,0,9,1.46617602994818,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2660.40163486606,-1820.95242064382,-839.449214222234
3001,1.40835225727163,0,0.185135433021339,0,0.0266671773192379,0,9,1.60743853905146,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2632.77067599125,-1863.66432040907,-769.106355582181
4001,0.764765946995115,0,0.165394927269533,0,0.0154859328617587,0,9,1.99926440340107,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2816.66122213763,-2060.05839699138,-756.602825146256
5001,1.8036065192339,0,0.177975568177214,0,0.0415535626660268,0,9,1.50005623143179,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2543.61420400156,-1792.23085751609,-751.38334648547
6001,2.13929983257922,0,0.175492597472911,0,0.0504530661021278,0,9,1.36456623828383,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2498.0358884254,-1741.00017772376,-757.035710701639
7001,2.22083854099945,0,0.178915687027248,0,0.0518903073030518,0,9,1.43362060498542,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2479.24171033459,-1743.77131118755,-735.470399147033
8001,2.23899316073212,0,0.172777856392573,0,0.0550142347943308,0,9,1.34316310034823,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2485.62503386242,-1706.86586895498,-778.759164907436
9001,2.36112297851193,0,0.176910291816501,0,0.0571844577405884,0,9,1.44443686484835,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2486.94741498475,-1768.47062053499,-718.476794449762
