sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.41313994722441,0,0.0569762199814432,0,0.12398313190788,0,9,1.85325048514642,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-8645.17977216248,-8397.7058092206,-247.473962941886
1001,0.339922123868018,0,0.0413880970259197,0,0.0203223000047728,0,9,2.28326346667018,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2907.92477397484,-2166.51084472974,-741.413929245093
2001,0.354584273461108,0,0.00134257182733685,0,0.0153474661223618,0,9,2.07948138138493,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2829.7536321074,-2189.78303055063,-639.970601556771
3001,0.301449793029113,0,0.016921666693247,0,0.0188930240616648,0,9,2.06488274631161,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2835.21560031951,-2048.77292170533,-786.442678614183
4001,0.295727751465616,0,0.0176375350678386,0,0.012326694875769,0,9,1.93314518726291,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2857.71400525266,-2052.00653385812,-805.707471394536
5001,0.37049159534376,0,0.0265889371677066,0,0.0302001973233599,0,9,2.23808414807878,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2857.77319777479,-2072.20970358443,-785.563494190362
6001,0.363502218991791,0,0.0235039025957368,0,0.0378734400102723,0,9,2.52114878002556,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3049.22425005605,-2210.1615352427,-839.062714813349
7001,0.275802812639552,0,0.00412192141216326,0,0.0159362797126573,0,9,1.68421030176845,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2900.05152809088,-1943.57391333211,-956.477614758764
8001,0.309236424244874,0,0.00336136958278164,0,0.0307891448331836,0,9,1.95711643774086,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3023.77414261222,-1984.4557367577,-1039.31840585452
9001,0.273937185390788,0,0.0225397182412781,0,0.0103893056867574,0,9,1.94601524812005,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2936.05072480733,-2057.17494003276,-878.875784774573
