sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.19434315618128,0,0.0670958781777881,0,0.140009098593146,0,9,1.62387068523094,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.671580474823713,0,0,0,1,0,-3810.62145869883,-3489.20247557498,-321.41898312385
101,1.29545351011679,0,0.0633150496156886,0,0.117991251486819,0,9,1.9548203999293,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.669825477986596,0,0,0,1,0,-2991.36005008199,-2317.40752280431,-673.952527277678
201,1.42884719264558,0,0.0516167845206812,0,0.0742173682839407,0,9,1.91688354045815,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.663554565402791,0,0,0,1,0,-2714.58321423161,-1897.01166665274,-817.571547578874
301,1.53271469068728,0,0.0474857844674149,0,0.0733560111667348,0,9,1.78979998484502,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.481505673579173,0,0,0,1,0,-2624.4174032647,-1805.05011180791,-819.367291456791
401,1.59483011462128,0,0.038911762205653,0,0.0758759288175876,0,9,1.19240540648963,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.398525179652089,0,0,0,1,0,-2350.94504313831,-1528.74060484602,-822.204438292292
501,1.68849430137509,0,0.0325272613665645,0,0.0732934730356061,0,9,1.21589117342583,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.276540947507775,0,0,0,1,0,-2276.92056420693,-1546.30942156311,-730.611142643822
601,1.78856816706437,0,0.0162699399756094,0,0.0796279430224854,0,9,1.07334963761309,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.276770208624831,0,0,0,1,0,-2196.79153342321,-1474.82196750698,-721.969565916231
701,1.81135587780547,0,0.0138016806201826,0,0.0788744466304481,0,9,1.12619500498192,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.24515753449084,0,0,0,1,0,-2218.4675513048,-1466.47118692881,-751.996364375981
801,1.74045602127921,0,0.00219139348582142,0,0.078767042851383,0,9,0.948213256162756,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.24515753449084,0,0,0,1,0,-2192.03665576528,-1458.99162688528,-733.045028879991
901,1.74197120398465,0,0.00545661552647072,0,0.0780251418130754,0,9,1.01932800107697,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.21040589411628,0,0,0,1,0,-2155.48178647514,-1409.07219607477,-746.409590400369
1001,1.77720648861454,0,0.0016378933022236,0,0.0781525490504845,0,9,1.06043370648908,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.212646548833106,0,0,0,1,0,-2168.34903652487,-1439.79554742213,-728.55348910274
1101,1.68831376907296,0,0.0421107088217519,0,0.04844612667522,0,9,1.10189393814188,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.169943544585645,0,0,0,1,0,-2212.91983377113,-1540.50604162382,-672.413792147311
1201,1.74427316259642,0,0.00258517173656781,0,0.0774386324771263,0,9,1.03551817263616,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.193849059965375,0,0,0,1,0,-2207.17226216188,-1435.89408525203,-771.278176909847
1301,1.74643171556249,0,0.0259858921052365,0,0.0546468578850444,0,9,1.08847282591013,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.142384866780304,0,0,0,1,0,-2183.55832971256,-1509.39931116161,-674.159018550949
1401,1.7664663452365,0,0.00735591397505673,0,0.0635763883750434,0,9,1.09267581439535,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.138236429594529,0,0,0,1,0,-2208.6728756288,-1500.34383030457,-708.329045324226
1501,1.8079754040533,0,0.00036979364439667,0,0.0760523928106498,0,9,1.07410087050309,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.194477057205665,0,0,0,1,0,-2198.76213339115,-1466.56569351179,-732.196439879364
1601,1.87078727290723,0,0.00919486147160617,0,0.067189201654504,0,9,0.98182094462117,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.171468480557417,0,0,0,1,0,-2188.14622471271,-1483.3485437449,-704.797680967814
1701,1.88376715014927,0,0.0110876440235994,0,0.0714655715393071,0,9,1.00280269942126,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.178361615348006,0,0,0,1,0,-2161.24914380336,-1432.62604762027,-728.62309618309
1801,1.84645297952183,0,0.00522233178941646,0,0.075202295737452,0,9,1.04259713923795,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.177095433996472,0,0,0,1,0,-2160.78185289615,-1427.22108363167,-733.560769264476
1901,1.86130295367537,0,0.00179565869851535,0,0.0707212588308,0,9,1.01165828640193,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.160001744718382,0,0,0,1,0,-2182.82747614885,-1422.55942971146,-760.268046437394
2001,1.86720625816969,0,0.00111872030716958,0,0.0738000070391331,0,9,0.983806867300068,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.17925348071361,0,0,0,1,0,-2198.11107342185,-1441.70911421368,-756.401959208177
2101,1.91028160626411,0,0.00184834021580493,0,0.0694411227469344,0,9,1.0430612597277,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.141459423285001,0,0,0,1,0,-2161.75613921832,-1460.10578761925,-701.65035159907
2201,1.96638872606976,0,0.00384713218927755,0,0.0736577360637116,0,9,0.992565318025215,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.152643152472644,0,0,0,1,0,-2164.2596944664,-1430.22494965458,-734.034744811822
2301,1.89438518693404,0,0.0237883647403494,0,0.04589908742525,0,9,1.13661846768267,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0792721214145795,0,0,0,1,0,-2155.94242389995,-1545.95823835252,-609.984185547427
2401,1.90759171650387,0,0.00227141467051542,0,0.0733722932958425,0,9,1.02109355824078,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.167511957913766,0,0,0,1,0,-2151.81381758205,-1418.11669424075,-733.697123341299
2501,1.91851630452603,0,0.000688029653395207,0,0.0737382913681695,0,9,0.994809080987607,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.165736841970366,0,0,0,1,0,-2139.87186922587,-1403.06084584007,-736.811023385803
2601,1.91652465114911,0,0.00373188253674137,0,0.0732959756899281,0,9,1.00786012300386,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.160110870430678,0,0,0,1,0,-2136.00134458058,-1408.90908774522,-727.092256835359
2701,1.90819503004215,0,0.00296796098851519,0,0.0727154339224646,0,9,0.995026601989046,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.164221694060518,0,0,0,1,0,-2138.98994760911,-1407.63532788019,-731.354619728919
2801,1.74530262427122,0,0.0234012208692875,0,0.0528910096550682,0,9,1.08947445582258,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.129315608499692,0,0,0,1,0,-2204.84396253396,-1513.04198917218,-691.801973361779
2901,1.8858493334462,0,0.00151348132006052,0,0.0729096853285954,0,9,0.949647871010212,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.173546196569966,0,0,0,1,0,-2153.80666318974,-1410.94429646283,-742.862366726912
3001,1.87995449314184,0,0.00106482004577911,0,0.0733849927831574,0,9,0.99286387002489,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.153467987826228,0,0,0,1,0,-2161.75406580232,-1429.21165266801,-732.542413134314
3101,1.97272158147005,0,0.0017514259293752,0,0.0742376504565628,0,9,0.992783319550617,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.149052383086265,0,0,0,1,0,-2141.55930063447,-1428.78939133147,-712.769909303002
3201,1.98164555574497,0,0.00166554051104884,0,0.0746501118792117,0,9,0.989804738778739,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.153405885333469,0,0,0,1,0,-2134.98695489136,-1417.79632623949,-717.190628651872
3301,1.89944744800213,0,0.000189909107120663,0,0.0728387269104335,0,9,0.990313114227203,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.144200553684815,0,0,0,1,0,-2242.03061642089,-1523.80998086097,-718.220635559926
3401,2.02038797094034,0,0.0152616806958782,0,0.0718616507626905,0,9,1.00861550834635,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.141802365558742,0,0,0,1,0,-2162.8236827384,-1430.12254297418,-732.701139764215
3501,1.84573198759401,0,0.026518331769179,0,0.0439361391152393,0,9,1.15358876470709,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0846340343237882,0,0,0,1,0,-2163.44103772357,-1560.45718624867,-602.983851474898
3601,2.18517091091119,0,0.0096547963052032,0,0.0742600380246538,0,9,1.02436303813004,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.148016917439541,0,0,0,1,0,-2161.63174798666,-1449.32086507028,-712.310882916378
3701,2.14892909469701,0,0.0028309275631356,0,0.0753407388071889,0,9,1.00183796267993,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.125748748018703,0,0,0,1,0,-2189.01273970055,-1450.28750235447,-738.725237346081
3801,2.08881418352903,0,0.00300808866344649,0,0.0746798896686986,0,9,0.993465690931929,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.146171846539446,0,0,0,1,0,-2150.9359584281,-1426.12722889809,-724.808729530002
3901,2.06993325632121,0,0.0068238235583233,0,0.0737454488330759,0,9,0.988942883134352,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.159987802663221,0,0,0,1,0,-2149.34527326984,-1440.6130317561,-708.732241513738
4001,2.10375385637405,0,0.00324899567611891,0,0.0737454488330759,0,9,1.03774248206496,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.136455251538308,0,0,0,1,0,-2117.36296948848,-1437.0330184735,-680.329951014981
4101,2.06885882886038,0,0.00173352843344045,0,0.0731215376841973,0,9,1.03922201380525,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.137288678068434,0,0,0,1,0,-2107.72221701486,-1433.3052195433,-674.416997471565
4201,1.81169512146626,0,0.0221889232494336,0,0.0427241098197536,0,9,1.15119433378776,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0986999528364306,0,0,0,1,0,-2147.64823737304,-1556.41706827368,-591.231169099354
4301,1.81169512146626,0,0.0207363583730042,0,0.0427241098197536,0,9,1.18974766508456,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0986999528364306,0,0,0,1,0,-2148.94144498422,-1567.69504481378,-581.24640017044
4401,1.81169512146626,0,0.016042753140351,0,0.0425079337952508,0,9,1.1503927449676,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0993258081029142,0,0,0,1,0,-2147.15547945358,-1566.14566829108,-581.009811162499
4501,1.81169512146626,0,0.00285256897639457,0,0.0434912443603733,0,9,1.13989757518802,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0971423353881602,0,0,0,1,0,-2132.17592308966,-1551.22693445561,-580.948988634045
4601,1.81169512146626,0,0.00284896334457837,0,0.0434912443603733,0,9,1.13989757518802,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0915370000408058,0,0,0,1,0,-2139.25873061795,-1562.23218523019,-577.02654538776
4701,1.81169512146626,0,0.00580654284779662,0,0.0436854300564758,0,9,1.12019033721002,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0915370000408058,0,0,0,1,0,-2127.60678987811,-1554.32140425086,-573.285385627254
4801,1.81169512146626,0,0.0179988743746749,0,0.0442981940296592,0,9,1.07059540028167,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0915370000408058,0,0,0,1,0,-2137.40863954224,-1539.68862997236,-597.720009569878
4901,1.81169512146626,0,0.0116499742368826,0,0.0458254957534652,0,9,1.12237195142977,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0915370000408058,0,0,0,1,0,-2102.77861070328,-1517.66671444468,-585.111896258598
5001,1.81169512146626,0,0.0100335706554042,0,0.0460895249669024,0,9,1.08038346155899,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0989032866315012,0,0,0,1,0,-2121.03369101237,-1529.27221684297,-591.761474169402
5101,1.81169512146626,0,0.0100335706554042,0,0.0482301428729179,0,9,1.06129325748637,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0989032866315012,0,0,0,1,0,-2121.78548088311,-1520.84283148714,-600.942649395965
5201,1.81169512146626,0,0.0114974156598941,0,0.0476825498906742,0,9,1.06330150874273,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.112847151339703,0,0,0,1,0,-2105.60010360082,-1499.02047117442,-606.579632426403
5301,1.81865708823565,0,0.0187257239305961,0,0.050404238663927,0,9,1.07157745744163,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.112847151339703,0,0,0,1,0,-2130.15131587154,-1501.00350040658,-629.14781546496
5401,1.81865708823565,0,0.0123422551635413,0,0.0523702926451143,0,9,1.03110925102063,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.120243875912693,0,0,0,1,0,-2119.88212579399,-1491.73688834229,-628.145237451704
5501,1.81865708823565,0,0.00303050033555144,0,0.0540124928840098,0,9,1.04969633513719,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.120243875912693,0,0,0,1,0,-2115.04722764575,-1489.21005733462,-625.837170311127
5601,1.80529362248906,0,0.00281691194480742,0,0.0544777062427163,0,9,1.07516000530618,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.120243875912693,0,0,0,1,0,-2108.96655423436,-1480.43314780909,-628.533406425266
5701,1.81776975288992,0,0.00539917823405714,0,0.0542112169531107,0,9,1.09118214606369,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.120243875912693,0,0,0,1,0,-2113.0648579828,-1485.9252161876,-627.139641795198
5801,1.88071488271931,0,0.00693334070037901,0,0.0561320834887338,0,9,1.01237651481975,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.119174534734034,0,0,0,1,0,-2148.7532713947,-1503.95121976744,-644.802051627259
5901,1.84061534960183,0,0.00433228295074728,0,0.0574188314748466,0,9,1.02384580777524,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.139882388854769,0,0,0,1,0,-2138.858333471,-1490.18869033237,-648.669643138623
6001,1.84996905566849,0,0.0157030596954008,0,0.0580386250349159,0,9,1.03352726080944,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.139882388854769,0,0,0,1,0,-2149.16971750276,-1485.45198338824,-663.717734114522
6101,2.03007690167621,0,0.0015342859147556,0,0.0680184418224655,0,9,1.03083746861131,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.134067970509477,0,0,0,1,0,-2120.75218599196,-1455.59733471707,-665.154851274887
6201,2.06030650056595,0,0.00053749444870288,0,0.0676591909038397,0,9,1.02914901267174,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.14504179715936,0,0,0,1,0,-2117.81922468525,-1440.83060462893,-676.988620056328
6301,2.07474453145601,0,0.00401483873177505,0,0.0679967569041822,0,9,1.04491688845163,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.129136172484795,0,0,0,1,0,-2106.41409411583,-1440.44080655693,-665.973287558897
6401,2.18829060224443,0,0.00572276690808812,0,0.0701087543491454,0,9,1.02538580378446,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.133161419708516,0,0,0,1,0,-2096.02115058404,-1431.42442816042,-664.596722423629
6501,2.19565171404815,0,0.00580431962771792,0,0.0713484460954736,0,9,1.03203889638015,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.144836291168592,0,0,0,1,0,-2108.85866446493,-1447.6102760957,-661.248388369229
6601,2.14527082150458,0,0.00902582334434562,0,0.0712305203337073,0,9,1.03203889638015,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.153971874447328,0,0,0,1,0,-2115.29882625379,-1447.52978368412,-667.769042569674
6701,2.23436244243508,0,0.0171144967862834,0,0.0710776489706027,0,9,1.05160482247672,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.134167658901711,0,0,0,1,0,-2111.93380074532,-1465.04951839624,-646.884282349073
6801,2.20749591669447,0,0.00320503827298583,0,0.0707372971677377,0,9,0.985516189378325,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.145001665607995,0,0,0,1,0,-2104.55414384554,-1434.94848859172,-669.605655253827
6901,3.40565383493197,0,0.116583189325286,0,0.0566371937010775,0,9,1.17894215627022,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0782188252673351,0,0,0,1,0,-2089.75160485832,-1538.59634480125,-551.155260057069
7001,3.41883791715512,0,0.130703678678201,0,0.0559284377527205,0,9,1.17894215627022,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0666400708336248,0,0,0,1,0,-2103.32457399712,-1543.39468958444,-559.929884412675
7101,2.71745837562697,0,0.029236386155474,0,0.0616288626074163,0,9,1.07011195898529,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.100217081891702,0,0,0,1,0,-2078.37837196215,-1499.38209558878,-578.996276373372
7201,2.78821608274761,0,0.0231619270317126,0,0.0633625339145622,0,9,1.07011195898529,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0840205461635741,0,0,0,1,0,-2069.06883842118,-1487.60467441302,-581.464164008152
7301,2.86872656424402,0,0.0240290447457319,0,0.0644699088809167,0,9,1.10389917120242,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0803946283113444,0,0,0,1,0,-2041.82700407169,-1477.56490880278,-564.262095268903
7401,2.83984805170629,0,0.0282184849166604,0,0.064786812660711,0,9,1.04829792553968,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0869911079632296,0,0,0,1,0,-2037.79821372848,-1471.43224355514,-566.365970173345
7501,2.80538146137627,0,0.0236853320451414,0,0.0650820187407456,0,9,1.0263598176914,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0868724423055724,0,0,0,1,0,-2012.72107959941,-1460.89930104053,-551.821778558886
7601,2.7864286350203,0,0.0241002606764851,0,0.0642862716254912,0,9,0.990576862232903,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.079530512676389,0,0,0,1,0,-2004.05013420791,-1456.06405230927,-547.986081898637
7701,2.82185511627265,0,0.0207491156949916,0,0.0641500764674532,0,9,1.0407197060346,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0769850744591908,0,0,0,1,0,-1998.19701645423,-1453.03034846312,-545.166667991116
7801,2.82689495050735,0,0.0255402297627125,0,0.0634814814075046,0,9,0.975585760847591,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0745363567169275,0,0,0,1,0,-1990.62946421913,-1447.03431507141,-543.595149147727
7901,2.7854786555861,0,0.0311326868350926,0,0.0627844800940242,0,9,1.06152008171666,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.077595708087245,0,0,0,1,0,-1990.91617912308,-1446.982967084,-543.933212039079
8001,2.80519045795786,0,0.0240671491394827,0,0.062988284419861,0,9,1.02176395316091,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0857631874841005,0,0,0,1,0,-2009.11890491954,-1451.26424457897,-557.854660340565
