sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,2.51379101723433,0,0.0555563582736068,0,0.141061927634291,0,9,1.76999866799451,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.474849960068241,0,0,0,0.798581879702397,0,-3729.27850401346,-3489.01763708109,-240.260866932372
1001,2.16304360020906,0,0.0359340366208926,0,0.0878046474559233,0,9,1.00052452384262,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.357722625276074,0,0,0,1.91245356257772,0,-2202.62487011431,-1431.70668777246,-770.918182341847
2001,1.82943224915643,0,0.0306782077243576,0,0.0730370435608404,0,9,0.912718812499195,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.152794380974369,0,0,0,0.881142080738537,0,-2051.61932140592,-1328.25849790392,-723.360823501994
3001,1.98575167184706,0,0.0280232313080998,0,0.0801998237241076,0,9,0.904890523607956,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.116468074414915,0,0,0,0.46090167876091,0,-2090.04801070218,-1342.78078372808,-747.267226974098
4001,2.18883876858093,0,0.0329291440770296,0,0.0778287532706809,0,9,0.902169915086198,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.129796127503152,0,0,0,0.739738787934209,0,-2057.29851684453,-1368.82959472209,-688.468922122443
5001,2.10275172303179,0,0.0244324059220648,0,0.0797592411716324,0,9,0.872106184813032,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.123400637227416,0,0,0,0.566391218865503,0,-2046.08926142583,-1322.59421735535,-723.495044070484
6001,1.84479620625755,0,0.00177664912502793,0,0.071606191872576,0,9,1.02614036632737,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.311112160980602,0,0,0,8.2393359487292,0,-2119.44483244693,-1402.30410952425,-717.140722922685
7001,2.04810319450205,0,0.0273782790181066,0,0.0752573735188828,0,9,0.870635137748227,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0869993419333021,0,0,0,0.321765669778516,0,-2032.20463074609,-1306.39106430654,-725.813566439548
8001,2.18683028378295,0,0.0146499906618729,0,0.0762697472232723,0,9,0.857918367225018,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.095795165114159,0,0,0,0.588223157911636,0,-2054.25785291053,-1323.19799584762,-731.059857062916
9001,2.04920989283257,0,0.0155834115644977,0,0.0771584413969414,0,9,0.815721583478765,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.074525316048874,0,0,0,0.330188807254031,0,-2019.81412429448,-1302.23482785107,-717.579296443402
