sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.90028379578143,0,0.0244148139376193,0,0.12507660377305,0,9,1.77721742598806,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0156073095276952,0,0,0,0.0146705183200538,0,-3620.19769623209,-3384.97694669698,-235.220749535113
101,2.17225141208619,0,0.0889510485809296,0,0.0314974010456353,0,9,1.34259705431759,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0812168880132958,0,0,0,0.0179420431377366,0,-2279.51430111447,-1837.52789807213,-441.986403042345
201,2.58598129694364,0,0.0174070173749193,0,0.0699734285117288,0,9,1.15888595729732,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.057349122345209,0,0,0,0.126013094828748,0,-2147.42393426971,-1653.95203375984,-493.471900509878
301,2.50462909272054,0,0.019770658095853,0,0.0670033607619313,0,9,1.1551540409814,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.057349122345209,0,0,0,0.146954470732386,0,-2056.88918983367,-1518.68162436822,-538.207565465445
401,2.39833986032016,0,0.0218334511943357,0,0.068725651763157,0,9,1.00997857980431,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0528346137467084,0,0,0,0.174131487632698,0,-2005.55765030141,-1436.53859159938,-569.019058702025
501,2.36444499043198,0,0.0272070906084096,0,0.0728457181971638,0,9,0.9926638142364,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0757162617026511,0,0,0,0.219187694352326,0,-1984.33165596515,-1404.89607175956,-579.435584205592
601,2.29846777968933,0,0.0185834080405065,0,0.0772018233873461,0,9,0.958300009238197,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0857317293832437,0,0,0,0.219187694352326,0,-2030.32401855856,-1391.52145990111,-638.802558657455
701,2.26442385360903,0,0.0193450647723,0,0.0750840040143269,0,9,0.920397091766747,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0876400168421611,0,0,0,0.228088147446797,0,-1995.70571623027,-1379.20246726268,-616.503248967594
801,2.25943690498342,0,0.0194053713699595,0,0.074622214587096,0,9,0.93439534073475,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0861127960558647,0,0,0,0.210373768752743,0,-1998.92354426869,-1375.76375940177,-623.159784866922
901,2.2228628698396,0,0.0170834457077062,0,0.0749014221907431,0,9,0.892119088192702,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0811301766936269,0,0,0,0.208396122342908,0,-2001.3316861244,-1378.53207731275,-622.799608811648
1001,2.25609882238366,0,0.014863801027472,0,0.0742307714034738,0,9,0.986361921882274,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0707965754554025,0,0,0,0.198823444043313,0,-1993.44684359371,-1376.85842085083,-616.588422742878
1101,2.29252058304043,0,0.0164989013527824,0,0.077375918701664,0,9,0.929406711382055,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0603593918258136,0,0,0,0.217327414287511,0,-2003.9643340893,-1363.41263453911,-640.551699550194
1201,2.21626557849209,0,0.016803437322199,0,0.0767118816802405,0,9,0.919024474678449,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0735675174973256,0,0,0,0.212812281151807,0,-2075.66609772287,-1433.35197647545,-642.314121247413
1301,2.18819960270948,0,0.016803437322199,0,0.0760780794794985,0,9,1.00390612033829,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0828993882096423,0,0,0,0.200702080519356,0,-2083.84142396787,-1434.55970434914,-649.281719618731
1401,2.25622850925006,0,0.0226649443505772,0,0.0740312015270405,0,9,0.957422819405318,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0819939491564041,0,0,0,0.191142903586853,0,-2010.43215010225,-1384.36977349472,-626.062376607522
1501,2.30861324948306,0,0.0246670424845886,0,0.0736301108983976,0,9,0.937146522060478,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0684639952011226,0,0,0,0.175829090542933,0,-2010.79008562642,-1384.38240122742,-626.407684399006
1601,2.28072184016616,0,0.0188291218271122,0,0.0726769374061768,0,9,0.919209838518437,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0783634301852784,0,0,0,0.232632868635786,0,-1985.02756861367,-1369.256727821,-615.770840792672
1701,2.25714775689851,0,0.0217144519642597,0,0.0734703930552428,0,9,0.912093447949343,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0858566187264554,0,0,0,0.239783099396527,0,-1975.66596970825,-1366.853381619,-608.812588089251
1801,2.32718265449093,0,0.0181282802722897,0,0.0772928570467349,0,9,0.950084563577526,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0746828235173368,0,0,0,0.206696795703429,0,-2028.39366546252,-1388.68491357786,-639.708751884659
1901,2.34352286495097,0,0.0219199845437069,0,0.0786747187202163,0,9,0.92721776763948,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0819623358627083,0,0,0,0.224283250202836,0,-1992.02669381461,-1372.10260752784,-619.924086286768
2001,2.33573878210074,0,0.0236870794674071,0,0.0758399178642794,0,9,0.922700590471544,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0708462846114833,0,0,0,0.227715825874058,0,-1974.69997950909,-1350.7669676542,-623.933011854884
2101,2.30705747254358,0,0.0184149828800995,0,0.0798703040760626,0,9,0.92254927956167,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0850644556567483,0,0,0,0.207022113635881,0,-1988.5693878028,-1358.40045850662,-630.168929296184
2201,2.28107036662594,0,0.0155101482879791,0,0.0769970985583483,0,9,0.90132280491904,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0806455892300454,0,0,0,0.2285491865267,0,-1991.5528330062,-1351.08711733827,-640.465715667929
2301,2.30488553978115,0,0.0217801988586554,0,0.0785934084852572,0,9,0.872431568583015,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0810952041502202,0,0,0,0.215644272501464,0,-1965.93815674729,-1327.46697295741,-638.471183789879
2401,2.2602810985854,0,0.0215190924755129,0,0.0769555774399296,0,9,0.909660412218998,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0821911139095883,0,0,0,0.20448765201654,0,-1989.77014620192,-1336.3511528183,-653.418993383621
2501,2.31175845702321,0,0.0230233515587401,0,0.0770964339912925,0,9,0.912136888831889,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0871584455303323,0,0,0,0.221597438512323,0,-1991.3159113286,-1338.29973005159,-653.016181277014
2601,2.31996703703824,0,0.0252403261552047,0,0.0781506617964793,0,9,0.876950182555107,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0786910003669231,0,0,0,0.217768595305548,0,-1959.25497856684,-1313.12725610386,-646.12772246298
2701,2.38329934189315,0,0.0256211050501685,0,0.0791838244368787,0,9,0.890476155956466,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0759025650479503,0,0,0,0.2244858372852,0,-1935.89788497332,-1310.17234373909,-625.725541234225
2801,2.38089916083331,0,0.0282439624550279,0,0.0781134560473586,0,9,0.860757938373529,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0702604295230686,0,0,0,0.221549443508744,0,-1933.06637250796,-1307.07607252382,-625.99029998414
2901,2.410643765715,0,0.0277408959830904,0,0.080375359401675,0,9,0.865254347648942,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0735880874676043,0,0,0,0.220792112858265,0,-1948.90474797842,-1321.92377971706,-626.980968261366
3001,2.45537831518097,0,0.0284333952412638,0,0.0787625176473807,0,9,0.898961542631834,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.067044941447612,0,0,0,0.231549536796128,0,-1936.00608704059,-1311.3072299181,-624.698857122499
