sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.88101714570075,0,0.0120718085463159,0,0.107922952086665,0,9,1.60488510492723,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0686991065740585,0,0,1,1,0,-3843.1167805618,-3480.5427411595,-362.574039402305
101,1.94457589017227,0,0.00782191371032969,0,0.0909501968091354,0,9,1.68165308731841,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0844356702268124,0,0,1,1,0,-2596.97931147061,-1740.39161729386,-856.587694176748
201,1.84480370276256,0,0.000200224796433252,0,0.0878671193847465,0,9,1.33824220952124,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.100765369457052,0,0,1,1,0,-2453.3663683294,-1567.6157813666,-885.750586962798
301,2.02054056665121,0,0.0131429568903951,0,0.082006432160248,0,9,1.21804124717931,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.246557056200843,0,0,1,1,0,-2258.16019166505,-1524.68201246121,-733.478179203845
401,2.01462697450149,0,0.0131429568903951,0,0.0803589600338273,0,9,1.11705838663264,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.239889186610403,0,0,1,1,0,-2164.55642846328,-1484.81316383704,-679.743264626241
501,2.05879207497289,0,0.0131429568903951,0,0.08113801744282,0,9,1.05677075283935,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.239889186610403,0,0,1,1,0,-2175.20815096109,-1469.37714315222,-705.831007808871
601,2.04255851809856,0,0.0131429568903951,0,0.0810322469328696,0,9,1.06020675594233,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.238916257417697,0,0,1,1,0,-2157.57538711519,-1456.97318761316,-700.602199502034
701,1.93219962507182,0,0.00136735185006771,0,0.0659091272377011,0,9,1.14488824280086,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.179189043354499,0,0,1,1,0,-2172.90497520308,-1544.25278568619,-628.652189516885
801,1.93219962507182,0,0.000997432158593907,0,0.0650021745187916,0,9,1.08001654182451,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.177930435888889,0,0,1,1,0,-2140.49758111043,-1511.79295290512,-628.704628205308
901,2.02897159353202,0,0.0026593913826574,0,0.0640283550144679,0,9,1.07972571440786,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.149095045516992,0,0,1,1,0,-2133.0066517014,-1514.04343074754,-618.963220953857
1001,2.09248058191819,0,0.005089165606462,0,0.0631588106060212,0,9,1.054905294906,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.17143157439528,0,0,1,1,0,-2154.47983893994,-1491.45985583586,-663.019983104077
1101,2.02686276909537,0,0.00846533630035334,0,0.063426639421954,0,9,1.04000075279212,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.174064966885801,0,0,1,1,0,-2140.71911381919,-1492.1598021085,-648.559311710692
1201,1.99163018724084,0,0.00192446328637821,0,0.0643958687961992,0,9,1.0246955855931,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.172204126460784,0,0,1,1,0,-2098.01484162463,-1468.50556680451,-629.509274820121
