sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.39538844209164,0,0.0815397062408738,0,0.171754470025189,0,9,1.55240377224982,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.515026551904157,0,0,0.0858584388927557,0,0,-2881.95618193769,-2626.23182887049,-255.724353067197
101,1.53546278271824,0,0.0102736069192179,0,0.0531421684427187,0,9,1.36763077159412,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.391554763214663,0,0,0.113086604636628,0,0,-2363.74513315804,-1781.44685748056,-582.298275677471
201,1.53546278271824,0,0.00350969894090667,0,0.0485344904009253,0,9,1.36763077159412,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.375168952462263,0,0,0.186790864246432,0,0,-2297.7959088312,-1609.25115587082,-688.544752960383
301,1.63959632460028,0,0.00320192334009335,0,0.0496840966166929,0,9,1.18176738719922,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.118084796704352,0,0,0.233194551670458,0,0,-2232.82225562943,-1546.16215045616,-686.660105173271
401,1.71893647294492,0,0.00597094919765368,0,0.0496840966166929,0,9,1.18176738719922,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.173813531175256,0,0,0.205486215075944,0,0,-2186.75050609148,-1520.06174536868,-666.688760722797
501,1.71893647294492,0,0.00153843336040154,0,0.0493381773354486,0,9,1.02936917147599,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.135824008309282,0,0,0.223152524612378,0,0,-2178.00317831301,-1501.83926150272,-676.163916810293
601,1.72205394171178,0,0.00153843336040154,0,0.0493381773354486,0,9,1.02936917147599,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0667905629146844,0,0,0.139950687445235,0,0,-2164.8738577195,-1496.32928649831,-668.544571221182
701,1.65621811691672,0,0.00372167642461136,0,0.0493381773354486,0,9,1.09315071883611,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.00786055212374779,0,0,0.117412613688503,0,0,-2178.83782538293,-1491.1770426628,-687.660782720127
801,1.68737057354301,0,0.0042425114591606,0,0.0493381773354486,0,9,1.09315071883611,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0474342443048954,0,0,0.141171011871193,0,0,-2177.71410587189,-1486.0294816013,-691.684624270584
901,1.68737057354301,0,0.00589910400332883,0,0.0502621457912028,0,9,1.02002784656361,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0630550586385653,0,0,0.132012966561597,0,0,-2201.89149407389,-1489.41417552605,-712.477318547842
1001,1.69033363461494,0,0.00441794116748497,0,0.0502621457912028,0,9,1.02002784656361,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0841216282220558,0,0,0.121521026508417,0,0,-2182.1432796156,-1475.49196638734,-706.651313228256
1101,1.7320191802457,0,0.00441794116748497,0,0.0502621457912028,0,9,1.04339519969653,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.00481493840925399,0,0,0.181772606174927,0,0,-2237.83647286584,-1512.47542682522,-725.361046040615
1201,1.76659392826259,0,0.0154846189008094,0,0.0502621457912028,0,9,1.04339519969653,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.104353241855279,0,0,0.258936427331064,0,0,-2237.34429161067,-1531.28134301648,-706.062948594188
