sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.44187953369692,0,0.024336649987381,0,0.151624314929359,0,9,1.8772567762062,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.991415715310723,0,0,1,1.49474296835251,0,-3434.98496633988,-3046.23447052001,-388.750495819872
1001,1.55787880497053,0,0.0339306524191052,0,0.0779316508141347,0,9,1.1863200548687,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.902463146788068,0,0,1,2.29954229902173,0,-2475.50510878135,-1587.74848132918,-887.756627452167
2001,1.93985290247309,0,0.00205421410822037,0,0.0525605169172793,0,9,1.15159002879187,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.231586686727369,0,0,1,3.51068051291932,0,-2192.30229667247,-1531.19676740886,-661.105529263618
3001,2.17045607191876,0,0.00551186548192344,0,0.0503387652418469,0,9,1.10748711243867,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.119671398509697,0,0,1,2.49046859711421,0,-2119.41907522944,-1515.4278756126,-603.991199616844
4001,1.99367064331619,0,0.0093328534758529,0,0.0556874715552139,0,9,1.0576552579028,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.209426903703846,0,0,1,2.67133902571496,0,-2165.48849894001,-1505.45200446229,-660.036494477717
5001,1.81215491679139,0,0.00177581115353484,0,0.0587419138961126,0,9,1.05232987473661,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.185666724075998,0,0,1,2.24546994830464,0,-2160.36566219912,-1470.48033001669,-689.885332182429
6001,1.6818406841322,0,0.000890614435841283,0,0.0555697165188022,0,9,1.14523911675182,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.178969207712152,0,0,1,2.0500193125491,0,-2176.5765289423,-1482.4854103263,-694.091118615992
7001,1.97153409784728,0,0.0148756550693002,0,0.0594325006513969,0,9,1.05027388988134,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.23957123339763,0,0,1,2.05464131497399,0,-2152.59332958258,-1473.4550822544,-679.13824732818
8001,1.74376633729851,0,0.00705356550529994,0,0.0539420121093907,0,9,1.02883397801066,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.211489849939904,0,0,1,2.43738387538015,0,-2202.78511640484,-1489.39970120625,-713.385415198589
9001,2.48078671724309,0,0.0490387664781882,0,0.0394635066354056,0,9,1.23126692924619,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0867801136257351,0,0,1,3.47145674622203,0,-2123.99878084817,-1586.11233477786,-537.886446070312
10001,2.18977856158781,0,0.0337778277998656,0,0.0456550975582731,0,9,1.11790776910023,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.137505581850749,0,0,1,2.22441554608603,0,-2114.14775806751,-1527.14317688355,-587.004581183957
11001,2.26699847621824,0,0.0306446613161732,0,0.0537660546497089,0,9,1.06815357739807,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.206744524917381,0,0,1,2.89597241773938,0,-2123.22893730007,-1508.07963003769,-615.14930726238
12001,2.30550453751297,0,0.0236623502455657,0,0.054495618912995,0,9,1.04829765383631,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.172129602835241,0,0,1,2.35932015145381,0,-2132.33744035795,-1494.33098039499,-638.006459962962
13001,2.32854880051739,0,0.0273880389451676,0,0.0582082633710274,0,9,1.03715152934191,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.16687447810871,0,0,1,1.83891929052208,0,-2102.06285871664,-1458.85819790475,-643.204660811894
14001,2.51734886422158,0,0.0299451852407929,0,0.0579819579022195,0,9,1.01081799734467,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.175985778325228,0,0,1,2.13471748235177,0,-2071.73227262189,-1469.60058887466,-602.131683747224
