sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.60539495246485,0,0.0261756742862053,0,0.143169046542607,0,9,1.11393600283191,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1.86938833794557,0,-5684.31074505422,-5358.08442522731,-326.226319826912
101,1.64235278265551,0,0.0217960338778794,0,0.133106955059338,0,9,1.60579552344279,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,2.02041803093161,0,-3656.07316726746,-3160.53831712728,-495.534850140182
201,1.39754019397599,0,0.0370402182213205,0,0.0701700512483105,0,9,2.39840950260332,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,2.41042956620255,0,-2946.53889939248,-2337.42640823706,-609.112491155415
301,2.46191307215187,0,0.136344550472791,0,0.0520117653252011,0,9,2.18842273191148,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.91754495642326,0,-2670.96504273733,-2142.79465681422,-528.170385923105
401,2.60323242353996,0,0.149631416548868,0,0.0520117653252011,0,9,1.81034473950687,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.91754495642326,0,-2576.84790913171,-1975.55071327201,-601.297195859698
501,1.82364921613639,0,0.0524685246051984,0,0.0437686888435724,0,9,1.69536462444687,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.87924780674362,0,-2473.37526050848,-1877.28490997119,-596.090350537295
601,1.80959005670964,0,0.0529174176600778,0,0.0433605458610198,0,9,1.47675564864566,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.89565825811562,0,-2432.76899095971,-1818.56244220411,-614.206548755603
701,1.80959005670964,0,0.0529174176600778,0,0.0491333833836099,0,9,1.42126851009165,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.90331850879848,0,-2425.23963900094,-1760.20470956511,-665.034929435828
801,1.80959005670964,0,0.0529174176600778,0,0.0491333833836099,0,9,1.38481135495314,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.91207412627301,0,-2409.99694881388,-1731.16418290849,-678.832765905384
901,1.83694548820004,0,0.0496487334496469,0,0.0524467339599465,0,9,1.27510178235968,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.8330787978093,0,-2395.80565739102,-1694.03693051471,-701.768726876314
1001,1.88917384496148,0,0.0515081827176569,0,0.0537838620611882,0,9,1.24959127097336,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.7836319369967,0,-2368.73426683678,-1669.47966304696,-699.254603789821
1101,1.91785128633855,0,0.0587252498458132,0,0.0553548942139731,0,9,1.24003676740712,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.9965781062338,0,-2341.28264437992,-1653.50037407629,-687.782270303626
1201,1.92093861550577,0,0.0560805769815942,0,0.0555073422171614,0,9,1.24556098628812,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.90727431196708,0,-2323.45695328292,-1636.33260463368,-687.124348649241
1301,1.88510206472894,0,0.0496045343991131,0,0.0568575166805283,0,9,1.21755276043332,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.91589391349143,0,-2313.03563831342,-1615.55644798527,-697.479190328152
1401,1.87079365341776,0,0.0434386825804534,0,0.0578130356230359,0,9,1.27047615735764,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.97208957512133,0,-2305.23502333348,-1610.40046129106,-694.834562042419
1501,1.90877652340201,0,0.0459584755306845,0,0.0582984947158006,0,9,1.17399692084639,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.90164664285446,0,-2309.68216737335,-1611.29319199295,-698.388975380408
1601,1.87610984512074,0,0.043134972517841,0,0.0582404433070867,0,9,1.17648466013495,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.83431545207305,0,-2302.57101834929,-1610.73034665914,-691.840671690152
1701,1.87563153198038,0,0.0400018012253342,0,0.0586493729887833,0,9,1.19265184443243,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.98141103457133,0,-2291.04150941822,-1597.73895860807,-693.302550810145
1801,1.85802142216992,0,0.0433285015204826,0,0.0582451894099878,0,9,1.12271707032411,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.99522643497868,0,-2276.478053567,-1582.64558640227,-693.832467164735
1901,1.813880978445,0,0.0415141826658418,0,0.0583263526384817,0,9,1.15514351866399,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.95350238218962,0,-2289.02930027221,-1571.89005883525,-717.139241436956
2001,1.77976459812327,0,0.0469417849554779,0,0.0569444172649069,0,9,1.15073755700356,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.93246861875961,0,-2310.2523579008,-1579.80400267492,-730.448355225881
2101,1.78482068162668,0,0.0517046399746379,0,0.0571804126564406,0,9,1.21320300759728,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.84633110500921,0,-2307.02982295026,-1574.2319762332,-732.797846717065
2201,1.81539688774829,0,0.0518139900313747,0,0.0562356038660429,0,9,1.17021377269159,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.99589543648398,0,-2301.24485223505,-1572.85549243429,-728.389359800751
2301,1.80760641426475,0,0.0506269147560776,0,0.0572566316500461,0,9,1.14338822844097,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.9076695090119,0,-2288.81512166418,-1570.62930835906,-718.18581330512
2401,1.76735938960075,0,0.0462809521608847,0,0.0560786532166843,0,9,1.17917192528305,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,9.90050038300456,0,-2281.63554539201,-1575.41078087489,-706.224764517117
