sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,2.15956039167941,0,0.0991718495055102,0,0.193830704665743,0,9,1.42859512125142,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.490129281533882,0,-4879.46118816756,-4612.6206824459,-266.840505721663
101,2.03061302211136,0,0.205440475700889,0,0.0887576831504703,0,9,2.35231505241245,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0214973154943437,0,-2736.65395565829,-2072.49994267487,-664.154012983419
201,2.40860775185605,0,0.186680915056576,0,0.0858364491483795,0,9,1.54180235957633,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0214973154943437,0,-2388.02820518098,-1762.56844900097,-625.459756180015
301,2.35007073070658,0,0.196324762929275,0,0.0671585376447194,0,9,1.38257225499621,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00945020107589181,0,-2376.23050094901,-1698.6022457931,-677.628255155908
401,2.40784278394145,0,0.196023569849436,0,0.0736334477055056,0,9,1.38257225499621,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00336040736560162,0,-2298.09248584034,-1688.81917912903,-609.273306711303
501,2.51082265890791,0,0.196812037199567,0,0.0736334477055056,0,9,1.31403679755823,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0107879893201758,0,-2299.65532157126,-1657.75133540672,-641.903986164541
601,2.42738867584514,0,0.191275440267049,0,0.0727247409008731,0,9,1.34035335370012,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00133821808392971,0,-2342.24220491444,-1664.50768477099,-677.734520143447
701,2.62415453186222,0,0.197982167595563,0,0.0722203790051344,0,9,1.2293316696179,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0109928507870823,0,-2269.193607777,-1643.183523485,-626.010084291994
801,2.78014467476971,0,0.199397705117142,0,0.0740967423577558,0,9,1.28113963710589,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0165484827177245,0,-2274.51586247697,-1650.61368596787,-623.902176509103
901,2.92213108493069,0,0.204003216479424,0,0.0795000089127991,0,9,1.19872537281601,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0019286955834539,0,-2352.23223380512,-1607.59766482345,-744.634568981672
