sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,2.01365272374824,0,0.042414841928985,0,0.162329099932686,0,9,1.95084593747742,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-3468.83072157934,-3129.55707914509,-339.273642434252
1001,1.57375581230968,0,0.050844459143933,0,0.0789797663525679,0,9,1.27958237286657,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2552.16481137859,-1714.7459982551,-837.418813123496
2001,1.687499305265,0,0.149831583292172,0,0.0356985929343717,0,9,1.63054584877701,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2528.19129614473,-1879.11949556115,-649.07180058358
3001,1.10826200228753,0,0.127037453896387,0,0.0194789810364168,0,9,1.71634768387288,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2479.7085009198,-1959.28584233376,-520.422658586038
4001,1.43611053408085,0,0.149371097355944,0,0.0268173207723185,0,9,1.67475539782545,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2686.88336648739,-1916.42911394947,-770.45425253792
5001,1.98371798225473,0,0.194122540502874,0,0.0329329325898828,0,9,1.6290141977983,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2423.74772944567,-1879.15265339479,-544.595076050887
6001,1.53542527099462,0,0.168895433003493,0,0.025329308744061,0,9,1.54016524723147,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2450.90716548517,-1891.63494582433,-559.272219660841
7001,1.17225659498829,0,0.162919334366619,0,0.0180107743503416,0,9,2.06942658825524,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2555.8264247157,-2028.4966516047,-527.329773111004
8001,2.55190210085676,0,0.166508105051948,0,0.0518038111928982,0,9,1.4628589149292,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2351.52366383831,-1792.72852980477,-558.795134033541
9001,1.43042417010264,0,0.172101669870383,0,0.0253402254288447,0,9,1.7789798262967,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2539.51898494167,-1947.39544971173,-592.123535229949
10001,1.82028702481419,0,0.177893351451537,0,0.0311381745662643,0,9,1.66311365493474,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2825.5515971162,-1982.04093502207,-843.510662094126
11001,1.50411821986732,0,0.0853549688627341,0,0.0515215041146914,0,9,1.55800925262305,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2537.11449065482,-1795.21415114063,-741.900339514183
12001,0.99355130234388,0,0.103585679445815,0,0.0206358203603028,0,9,1.92167219471998,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2549.9657030621,-1995.10759533089,-554.858107731213
13001,1.55540377392884,0,0.16880639490231,0,0.0285294341616486,0,9,1.83613140684141,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2557.63792911122,-1981.88821628048,-575.749712830733
14001,1.64880556406439,0,0.168645767260729,0,0.0281129288111777,0,9,1.61871964865144,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2498.98205204664,-1884.80059951296,-614.181452533677
15001,1.6211245135937,0,0.172704746213787,0,0.0249011382655581,0,9,1.69764784509096,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2479.14265776921,-1922.69837707602,-556.444280693184
16001,0.98389269518067,0,0.0921648609091011,0,0.024765380704468,0,9,1.8285366072719,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2691.69196869152,-1902.60428945506,-789.08767923646
17001,1.41268591604354,0,0.162181150446779,0,0.0246199583343782,0,9,1.64130674690707,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2512.4714819599,-1905.25639821722,-607.215083742676
18001,1.90391571222796,0,0.176285248194024,0,0.0331371262792329,0,9,2.60788240266449,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2625.96247642294,-2043.21576041073,-582.746716012216
19001,2.88044358727513,0,0.175274486133822,0,0.0556857332908569,0,9,1.45348941322244,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2420.8425252377,-1794.66537878407,-626.177146453628
20001,2.73792799022584,0,0.160786514082885,0,0.0556857332908569,0,9,1.41526080350807,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2343.26285536375,-1755.24124163592,-588.02161372783
21001,2.50725369403126,0,0.144204360246155,0,0.0556857332908569,0,9,1.62649444549445,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2379.18425828682,-1782.26143284048,-596.922825446332
22001,2.36632596620686,0,0.132065765622283,0,0.056668741002644,0,9,1.46288147231243,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2497.23264759817,-1782.14899253753,-715.083655060644
23001,1.22285519043487,0,0.0943920589439504,0,0.0371967024846286,0,9,1.79216852834768,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2509.54100454034,-1847.83081406472,-661.710190475627
24001,1.48516724977685,0,0.148918530646787,0,0.0293741333802505,0,9,1.73761196966756,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2589.99790978105,-1899.2538504618,-690.744059319254
25001,1.46375920746505,0,0.148836342945891,0,0.0268213343833863,0,9,1.70310672576777,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2594.79672478736,-1885.27988775593,-709.516837031433
26001,1.74923345779334,0,0.165055748613051,0,0.0337625861839717,0,9,1.57260035656186,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2630.88366799752,-1923.13118999405,-707.752478003465
27001,2.01861166698605,0,0.183053968328954,0,0.0340210207980954,0,9,1.53239674173364,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2390.79922142391,-1844.73763324614,-546.061588177768
28001,1.29194058494072,0,0.10872252003893,0,0.0330741134845319,0,9,1.54244943708958,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2451.39176122006,-1831.45488728026,-619.936873939801
29001,1.7019517518189,0,0.19263118985773,0,0.025696003075473,0,9,1.83437048042873,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2490.37373807731,-1929.79607182424,-560.577666253075
30001,2.35892148625612,0,0.160526556559492,0,0.047225108827742,0,9,1.34022092673727,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2402.11230234193,-1822.43830416332,-579.673998178604
31001,2.04625417154547,0,0.138875474625557,0,0.0458297609078596,0,9,1.5372075403275,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2427.5243852829,-1797.24498685084,-630.279398432056
32001,2.1565617283467,0,0.157754246172671,0,0.0431532103737236,0,9,1.56860821053229,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2686.77119985293,-1898.80320119033,-787.967998662595
33001,2.02761839333717,0,0.152212128407585,0,0.0437472345452599,0,9,1.59579652562305,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2470.66796558679,-1843.0093636203,-627.658601966492
34001,1.48762672753447,0,0.173486476416931,0,0.0261482990660995,0,9,1.80092666841847,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2525.99278460671,-1914.24874675149,-611.744037855211
35001,1.87977573813887,0,0.0805882256896899,0,0.069933942699801,0,9,1.40923300852075,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2610.15477627794,-1787.39385848537,-822.760917792566
36001,2.01650004654273,0,0.129820563680718,0,0.0481157805659001,0,9,1.43054756945039,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2393.62791552033,-1775.69258891263,-617.935326607695
37001,1.46996257261303,0,0.184783873863283,0,0.0241144322700573,0,9,1.72191165398866,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2522.69162123506,-1924.78602325399,-597.905597981066
38001,1.43040394409536,0,0.145542569198079,0,0.0265833800589153,0,9,1.65345530248205,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2754.80573969238,-1896.9223212857,-857.883418406682
39001,1.82809258365509,0,0.142714406476683,0,0.0387498382701944,0,9,1.63253387645151,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2668.9336616585,-1890.92173985227,-778.011921806228
40001,1.75657507141859,0,0.154722300017949,0,0.0355840430653404,0,9,1.57385503292926,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2714.56649058659,-1872.09639544296,-842.470095143621
41001,1.87386582303514,0,0.199971997792691,0,0.0257809283154975,0,9,1.95756834893849,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2474.90140573152,-1935.42227197548,-539.479133756043
42001,1.68439746118033,0,0.114676111461117,0,0.0444153001429746,0,9,1.55619219077748,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2641.48833379805,-1852.18750431834,-789.300829479707
43001,1.3616416760042,0,0.161888445685187,0,0.0204689273055595,0,9,1.75483985124348,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2490.03012727772,-1942.97171840036,-547.058408877355
44001,1.71843565807218,0,0.16825828253687,0,0.0328629956482141,0,9,1.77554595452994,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2501.34926208814,-1894.04722228128,-607.302039806861
