sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.51185153564438,0,0.0265358892991208,0,0.14610842098482,0,9,1.90343309170567,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.0909315191931091,1,0,-3665.67512914966,-3405.29054448208,-260.384584667583
101,0.861054927576333,0,0.018249451436568,0,0.0633938836865127,0,9,2.5167685255874,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.201367035836447,1,0,-2918.95708119063,-2329.75757817475,-589.199503015886
201,0.662367634793292,0,0.0415691804226369,0,0.0340067397641514,0,9,1.6878299864769,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.949374908164609,1,0,-2686.49162114229,-1830.82905216126,-855.662568981028
301,1.93875201667143,0,0.142062429657959,0,0.0444005140636508,0,9,1.50901064520002,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.987076896393824,1,0,-2531.69519645188,-1828.46767928569,-703.227517166183
401,1.28291434531633,0,0.192195372098729,0,0.0235138975668666,0,9,1.91402172038562,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.727512069537279,1,0,-2589.14670155863,-2024.26219434681,-564.884507211822
501,1.90352448647467,0,0.139837262972754,0,0.0406514877507154,0,9,1.57002510673201,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.979540952516496,1,0,-2521.33539868602,-1810.30514777221,-711.030250913809
601,1.80809835892097,0,0.185087878253463,0,0.0272305296679582,0,9,1.58380147569254,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.997000362680517,1,0,-2613.23070574024,-1906.99304274491,-706.237662995332
701,0.549336662019777,0,0.0733330202962311,0,0.0063736875516962,0,9,2.02122515743145,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.989994435063894,1,0,-2608.15335123253,-2078.35079969127,-529.802551541262
801,0.838484459564084,0,0.110962239227698,0,0.0125964844413478,0,9,1.89607465459292,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.993382372313645,1,0,-2636.77394941357,-2029.72130177981,-607.052647633763
901,1.45509987647762,0,0.135274110039284,0,0.0331178232029859,0,9,1.77622898810762,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.995813505209552,1,0,-2677.63705528928,-1921.78818641706,-755.848868872218
1001,0.827768377997632,0,0.167461256281752,0,0.00411206184042424,0,9,1.93224245470152,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.79528027897206,1,0,-2745.83612218678,-2145.03867154135,-600.797450645432
1101,2.09516724013235,0,0.191623256552369,0,0.0344479639722717,0,9,1.56048739500214,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.995102019687516,1,0,-2603.52415929128,-1870.92572676094,-732.59843253034
1201,2.15233556983986,0,0.185792043101476,0,0.0386521455118276,0,9,1.53343423132402,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.997196915033215,1,0,-2604.57258657624,-1814.27402192204,-790.298564654196
1301,2.14784827213236,0,0.185917034799548,0,0.0367211602215318,0,9,1.52262854371501,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.978865884324982,1,0,-2444.50244053602,-1833.72305409544,-610.779386440581
1401,2.09372715075677,0,0.168531643909939,0,0.0389149562948598,0,9,1.56643025819986,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.993655572891042,1,0,-2620.95900057124,-1842.41678414915,-778.542216422092
1501,2.03482754159542,0,0.169348293681431,0,0.0384080273901839,0,9,1.45011350287046,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.997193080714342,1,0,-2476.63634663021,-1831.36374411458,-645.272602515629
1601,1.42419775465078,0,0.176267320396483,0,0.0195590913311107,0,9,1.84743384393003,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.985529885412846,1,0,-2721.27765315647,-1993.41417328729,-727.863479869183
1701,1.31936935456935,0,0.208489422955883,0,0.0121537203983415,0,9,1.91782010760119,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.982153768574234,1,0,-2757.15394317078,-2071.41159565046,-685.742347520316
1801,2.00744597503509,0,0.16533903375728,0,0.0392912247942943,0,9,1.50974769029615,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.999176093591017,1,0,-2715.18605578888,-1920.72858374324,-794.457472045635
1901,1.8976673131026,0,0.301539293338567,0,0.0206496757815885,0,9,1.75482343381474,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.718906758974653,1,0,-2572.56528135528,-2005.53888308812,-567.026398267164
