sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.80326964054257,0,0.0938340611592866,0,0.165755859320052,0,9,1.71300726756454,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0579392574890517,0,-4121.04130304355,-3875.56723032801,-245.474072715541
1001,1.89536749646068,0,0.193483211828861,0,0.0423687232425436,0,9,1.58589913847391,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00603766493266448,0,-2536.36773054114,-1861.14835121875,-675.219379322396
2001,1.62703026286413,0,0.276213786734147,0,0.0133449041160407,0,9,1.85846352158691,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0654880534319455,0,-2598.30007910943,-2053.42436265256,-544.875716456868
3001,1.12986309943934,0,0.115387774344884,0,0.0311946821165637,0,9,1.56742386635238,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0144604062275526,0,-2758.12780764336,-1860.70714025125,-897.420667392107
4001,2.51367239237539,0,0.202452398722774,0,0.0577324918116777,0,9,1.30541363203604,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00571417891884662,0,-2386.39336940315,-1708.49224247982,-677.901126923333
5001,2.45673633981596,0,0.197340075130574,0,0.0644019602845723,0,9,1.29462137596164,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0271834798296192,0,-2384.52784054493,-1706.48492261174,-678.042917933192
6001,2.66120119477073,0,0.207114706071979,0,0.0597854330846053,0,9,1.34159055445243,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0400254420003366,0,-2465.64343865071,-1709.76957433591,-755.8738643148
7001,2.9464691364788,0,0.226447521784191,0,0.0653546949252808,0,9,1.29480489575237,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00417874184720396,0,-2318.88337111163,-1665.23480469813,-653.648566413504
8001,3.01250468809491,0,0.24950619164766,0,0.063811006262616,0,9,1.31720788256811,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00518895832267733,0,-2308.54034069237,-1693.40088977714,-615.139450915224
9001,3.18203585022946,0,0.254319540154111,0,0.0646856354835216,0,9,1.32681399564395,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0178088669830037,0,-2315.77679175328,-1688.62681118835,-627.149980564939
