sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,1.27303618937731,0,0.0710225415462628,0,0.154313613893464,0,9,1.11790207319427,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.127089015906677,1.30313629796729,0.169069806249657,0,1.66291616554372,0,1,1,-19965.3245541337,-19573.852166848,-391.472387285791
1001,1.86936696553603,0,0.0144682322372683,0,0.0848485548910685,0,9,1.06310703267809,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.205808444623835,1.38468724993057,0.174315208096135,0,1.00228286472103,0,1,1,-5343.8162869731,-4476.62905543484,-867.187231538261
2001,1.66661304911158,0,0.000126828981089433,0,0.0751738653732772,0,9,1.00058653499901,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.158701615388634,1.46779596503901,0.0900143743294676,0,0.921388276697463,0,1,1,-5276.59953243793,-4429.07440962849,-847.525122809438
3001,1.75198657538194,0,0.000592713224455224,0,0.0755414882950845,0,9,1.01461693297465,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.157839167282049,1.54783793954616,0.0942485550207342,0,0.986404382852324,0,1,1,-5272.98006920896,-4436.44187452004,-836.53819468892
4001,1.74579578258256,0,0.00154779780701068,0,0.0739525933081278,0,9,1.0381990439015,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.155737781084188,1.47818937044705,0.109151045828442,0,1.03071970824667,0,1,1,-5227.82145153529,-4412.2862860902,-815.53516544509
5001,1.77526088089277,0,0.0027282376623863,0,0.0734575522037088,0,9,1.04129125399354,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.147384405396504,1.62747957830072,0.11495408821091,0,1.07229397058479,0,1,1,-5244.06573023934,-4426.23836032538,-817.827369913962
6001,1.97287821552609,0,0.021602021409093,0,0.0657065418243914,0,9,1.04908425938193,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.131135146227218,1.91083251021453,0.102374193089249,0,1.21132793171455,0,1,1,-5243.29403746244,-4460.25668728423,-783.037350178213
7001,1.99616460241911,0,0.0229671836107446,0,0.0667671502139878,0,9,1.02228105467063,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.124930430914917,1.87850261230214,0.0958119183161679,0,1.19886500534214,0,1,1,-5245.52546618526,-4464.16842342363,-781.357042761622
8001,2.07401074558631,0,0.0230463232192634,0,0.068587117982875,0,9,0.998075826562429,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.136121279274496,1.70514740997428,0.122058401643956,0,1.1233038675353,0,1,1,-5210.55471629959,-4425.27706585122,-785.277650448361
9001,2.12260853152909,0,0.024754072323392,0,0.0689899488928085,0,9,1.04038280145355,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.144752381719886,1.73755794103557,0.100795125918115,0,1.25734547050001,0,1,1,-5213.31902783704,-4454.46689912024,-758.852128716798
10001,1.99941580095058,0,0.0150935227992277,0,0.0676864677194089,0,9,1.028082618205,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.119933228547041,1.69783819132699,0.107997949920575,0,1.13123525462206,0,1,1,-5199.68017503,-4433.7749413101,-765.905233719897
