sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,2.68815053068101,0,0.0480995847191662,0,0.191462602466345,0,9,1.07800159335602,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.686249071499333,1.9576648180373,0.170971361347862,0,1.67879832838662,0,1.28218503890093,1,-18551.9728035507,-18161.3253206162,-390.647482934566
101,2.74071454366669,0,0.0428451057313942,0,0.176070884992369,0,9,1.6020424545859,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.674446856579743,1.95589369047433,0.171236656613716,0,1.76275906094443,0,1.1884093839908,1,-10615.7812417239,-10051.4525339213,-564.32870780259
201,2.79586975618375,0,0.0616697788812384,0,0.123658037115206,0,9,3.14496289681054,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.593698704821227,1.91714514338319,0.261775500366516,0,1.81401920079173,0,1.0948796119161,1,-7987.64715253308,-7363.83532546111,-623.811827071964
301,3.10831233684747,0,0.0508971830605931,0,0.144823737110294,0,9,2.26652351732121,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.672329136797694,2.28582891517,0.280239566321778,0,1.96751732841509,0,0.716321587329435,1,-7555.85898319022,-6761.30028386399,-794.558699326226
401,3.32201987246721,0,0.0365754914058373,0,0.123936213659021,0,9,1.9819770860568,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.427567492322396,0.547442637864035,0.185733047412512,0,2.57061040857526,0,3.58176881260244,1,-6995.17796378883,-6181.0964196332,-814.081544155632
501,2.85448087949979,0,0.0307956417462507,0,0.109132847699301,0,9,1.77936745700561,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.427567492322396,0.256357185062487,0.0990946076602343,0,2.5675560851405,0,7.5080684833136,1,-6607.55622091173,-5783.85976459,-823.696456321734
601,2.85448087949979,0,0.0454731186504698,0,0.097864636504725,0,9,1.63973521083069,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.353969162015027,0.140397859286051,0.109514264561156,0,2.24091093621459,0,8.20457272884431,1,-6335.6718895411,-5514.49603644808,-821.175853093028
701,2.67603540806038,0,0.0339179527558945,0,0.0918072305452924,0,9,1.3999505986713,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.309116043917381,0.515619283993263,0.261184888439255,0,2.24091093621459,0,4.63723493927154,1,-6126.88557373445,-5304.85169587881,-822.033877855635
801,2.67091071935931,0,0.0289070852731358,0,0.0900818921029182,0,9,1.33455327041733,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.250923340216581,0.515619283993263,0.0973787526148393,0,2.24091093621459,0,3.95132126008155,1,-5985.42667444695,-5167.48153656967,-817.94513787728
901,2.71414009461213,0,0.0557179471671403,0,0.0850831954683226,0,9,1.3804492413507,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.24208169008245,3.71796789303857,0.0671651784530709,0,1.53583434478088,0,0.34971414818708,1,-5934.30858052093,-5128.69272685926,-805.615853661674
