sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,2.07448119483888,0,0.0828841117722914,0,0.185058888653293,0,9,1.7988737024134,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.663459163391963,0.597632362740114,0.00861511910264381,0,0.0633071954990737,0.0479215583554469,1,1.11615695536602,-16622.0042478273,-16347.2889451964,-274.715302630856
101,1.10206492040306,0,0.0368824148597196,0,0.190422250772826,0,9,2.50621386780404,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.507059330074117,0.488014519866556,0.015795349575812,0,0.061282007668633,0.092767519087065,1,1.88084969238844,-7517.33595052061,-6928.36565855567,-588.970291964947
201,0.772943563945592,0,0.00280763485468924,0,0.0772087498567999,0,9,2.1975223927293,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.465319626359269,0.560220094886608,0.0194434834450949,0,0.176623064668384,0.0844077802286483,1,1.92313411098439,-6773.19999788213,-5706.76622249236,-1066.43377538977
301,0.922473388724029,0,0.00446668994147329,0,0.111592690786347,0,9,1.7390394906979,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.361554523790255,0.448107358510606,0.0109234761300031,0,0.12841218122514,0.0963071884145029,1,2.50737326301169,-6449.05507654944,-5254.34047895778,-1194.71459759166
401,0.887911686114967,0,0.0236086802138016,0,0.0666038086870685,0,9,1.30962416215334,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.290437294985168,0.770959980459884,0.0307857542291749,0,0.173296670026612,0.204663388689514,1,1.54554247262422,-5940.5322067756,-4915.67085260719,-1024.86135416841
501,0.945205905474722,0,0.000470321490429331,0,0.101963134412654,0,9,1.07806029880885,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.296982701285742,0.461216011317447,0.0124529836901929,0,0.161660120303277,0.212311539754737,1,3.31351634499151,-5726.51875073015,-4548.05812632388,-1178.46062440627
601,1.236257263273,0,0.0196266251895577,0,0.0712197638815269,0,9,1.30962416215334,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.232204452482983,0.662552567757666,0.0317647211363073,0,0.25323413481703,0.14884765462717,1,1.99790518882219,-5641.68785387046,-4752.63639756867,-889.051456301785
701,1.236257263273,0,0.0196266251895577,0,0.0712197638815269,0,9,1.30962416215334,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.202842220244929,0.551309268269688,0.0275729935702402,0,0.258929508498404,0.075094660280738,1,2.71760759188328,-5594.9384317956,-4693.9276356691,-901.010796126496
801,1.236257263273,0,0.0196266251895577,0,0.0712197638815269,0,9,1.01937671808992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.203268176969141,0.475955928768962,0.0257392346502747,0,0.258929508498404,0.0514828154840506,1,2.70272340334486,-5496.2490122295,-4575.4935810549,-920.755431174601
901,1.236257263273,0,0.0197394718695432,0,0.0712197638815269,0,9,1.01937671808992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.204014198668301,0.551291524549014,0.0259855002972763,0,0.26858215682907,0.0590576750249602,1,2.25215930223931,-5419.19220157819,-4520.9895317796,-898.202669798592
1001,1.28220467157662,0,0.0197394718695432,0,0.0712197638815269,0,9,1.01937671808992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.1970471594017,0.57696600544732,0.040944026833633,0,0.281791064136196,0.13506184495287,1,1.30203655606601,-5367.14229363291,-4475.91786250711,-891.224431125806
1101,1.28220467157662,0,0.0197394718695432,0,0.0712197638815269,0,9,1.01937671808992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.197819140739739,0.609435289306566,0.036524671199033,0,0.325453140742611,0.140627449706662,1,2.70276887819637,-5366.37625261986,-4482.49002178082,-883.886230839037
1201,1.28220467157662,0,0.0191820847149938,0,0.0712197638815269,0,9,1.01937671808992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.197819140739739,0.602331406064331,0.0342145964030642,0,0.340415331458207,0.0895247778412886,1,2.4800555241527,-5373.3493300051,-4479.87417833955,-893.475151665549
1301,1.28220467157662,0,0.0191820847149938,0,0.0712197638815269,0,9,1.01937671808992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.192852946114726,0.630017639254219,0.0428869125635829,0,0.340415331458207,0.151489211597946,1,3.23140034580138,-5380.33404222287,-4470.69389066822,-909.640151554657
1401,1.28220467157662,0,0.0177077845484018,0,0.0712197638815269,0,9,1.01937671808992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.192088901693933,0.726665144553407,0.0450325395136606,0,0.346245399552863,0.12293231715681,1,2.91370608436409,-5414.22340221886,-4510.75876880262,-903.46463341624
1501,1.28220467157662,0,0.0177077845484018,0,0.0712197638815269,0,9,1.01937671808992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.182878727000207,0.699410800565965,0.0457250003113877,0,0.337632791411597,0.106364271978382,1,3.36410240584519,-5369.03316057805,-4458.62447953172,-910.408681046324
1601,2.08830006215721,0,0.0221577827306464,0,0.0923675803933292,0,9,1.09040403773543,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0832813393091783,0.795836784527637,0.00577048038900829,0,0.142332943265792,0.209168209994678,1,5.93456204922405,-5289.23750874498,-4404.70208122521,-884.535427519771
1701,2.08830006215721,0,0.0221577827306464,0,0.0923675803933292,0,9,0.915251530590468,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0832813393091783,0.908557130256668,0.0154957703182008,0,0.139164372270461,0.339779798218515,1,6.6448183747707,-5246.85783210201,-4365.16847416311,-881.689357938894
1801,2.0893502695486,0,0.0221577827306464,0,0.0923675803933292,0,9,0.915251530590468,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0848337908973917,0.853126416471787,0.0189637102030683,0,0.148015761764254,0.528899596955162,1,6.36011167231482,-5200.70763625538,-4320.51749494255,-880.190141312822
1901,2.0893502695486,0,0.0221577827306464,0,0.0923675803933292,0,9,0.915251530590468,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0848337908973917,0.888497444801033,0.0288777498162817,0,0.148015761764254,0.475678989521694,1,6.26022816018667,-5172.63684057081,-4292.84831635461,-879.788524216205
2001,2.0893502695486,0,0.0221577827306464,0,0.0923675803933292,0,9,0.915251530590468,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0848337908973917,0.856900323950686,0.0284426327964757,0,0.148015761764254,0.59618196191499,1,5.8834413633449,-5148.14207261147,-4282.01733589274,-866.124736718732
2101,2.0893502695486,0,0.0221577827306464,0,0.0923675803933292,0,9,0.915251530590468,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0869426789693534,0.828061498771422,0.0266264043173287,0,0.148185218095314,0.626464765865821,1,5.26125492074061,-5129.47213463739,-4269.21627352187,-860.255861115519
2201,2.0893502695486,0,0.0221577827306464,0,0.0923675803933292,0,9,0.915251530590468,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0869426789693534,0.993323177518322,0.0375754549035337,0,0.155022693395149,0.459896033976693,1,5.3998379643308,-5134.72616122379,-4268.30195289742,-866.42420832637
2301,2.0893502695486,0,0.0210805458202958,0,0.0923675803933292,0,9,0.940131490700879,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0929311077808961,0.981903935014271,0.0424598001951818,0,0.158694465917069,0.393913329739589,1,5.50081518187653,-5121.05701711907,-4249.90855640624,-871.148460712833
2401,2.0893502695486,0,0.0210805458202958,0,0.0923675803933292,0,9,0.940131490700879,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0929311077808961,0.878586448612624,0.0466338963487651,0,0.168850191489328,0.366018263224978,1,6.0097742973594,-5158.04459003525,-4285.74240722817,-872.302182807083
2501,2.0893502695486,0,0.0210805458202958,0,0.0923675803933292,0,9,0.982161871856079,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0929311077808961,0.904127818648704,0.050057025070535,0,0.168850191489328,0.420727828585077,1,6.27749902161304,-5161.4402660178,-4279.83093655984,-881.609329457968
2601,2.07886521779001,0,0.0210805458202958,0,0.0923675803933292,0,9,0.982161871856079,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0929311077808961,0.787634313618765,0.0367654480792117,0,0.170573953741696,0.405203053655569,1,6.07644745719153,-5109.57879538316,-4247.04560712295,-862.533188260207
2701,2.07886521779001,0,0.0209721093950793,0,0.0923675803933292,0,9,0.982161871856079,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0942551804706454,0.694399673910812,0.0261724529608619,0,0.172400973404292,0.32611834574258,1,7.26635223452467,-5089.79772588942,-4225.44501646939,-864.352709420023
2801,2.07886521779001,0,0.0215383375715464,0,0.0923675803933292,0,9,0.982161871856079,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0942551804706454,0.625250955438242,0.0213597191085573,0,0.180559302323964,0.364714174878318,1,7.6072057193378,-5092.56449001833,-4224.51236694327,-868.052123075067
2901,2.07886521779001,0,0.0215383375715464,0,0.0923675803933292,0,9,0.982161871856079,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0958365883678198,0.647738486737945,0.0225724209060427,0,0.180559302323964,0.229823258260731,1,7.22275777196046,-5096.80085636916,-4226.81933193272,-869.981524436441
3001,2.07886521779001,0,0.0205451914388687,0,0.0923675803933292,0,9,0.982161871856079,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0958365883678198,0.627936042821967,0.0264190579212737,0,0.184917155506555,0.168300598880742,1,8.36214832949917,-5130.59707064775,-4260.26158478057,-870.335485867178
3101,2.07886521779001,0,0.0217560348147527,0,0.0923675803933292,0,9,0.939271420706064,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0958365883678198,0.636681444826537,0.0277785762359854,0,0.182033746333327,0.126121991218534,1,8.31255140749272,-5097.24114138142,-4234.66838897011,-862.57275241131
3201,2.07886521779001,0,0.0217560348147527,0,0.0923675803933292,0,9,0.915086491499097,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0958365883678198,0.568955691251905,0.0393576384971384,0,0.182033746333327,0.133936592305545,1,9.53484722867142,-5060.10437137581,-4211.17393016284,-848.930441212961
